Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio
4000EEW_B01_U01_0015,travel,,[trǽvəl],v.,To <i>travel</i> is to go to a faraway place on vacation or business.,They will <b>travel</b> to Argentina this summer.,They will {{c1::travel}} to Argentina this summer.,"""<img src=""""4000EEW_B01_U01_0015.jpg"""" />""",[sound:4000EEW_B01_U01_0015.word.mp3],[sound:4000EEW_B01_U01_0015.definition.mp3],[sound:4000EEW_B01_U01_0015.example.mp3]
4000EEW_B01_U01_0016,typical,,[típikəl],adj.,"If something is <i>typical</i>, it is normal, or something that usually happens.",My <b>typical</b> breakfast is toast and eggs.,My {{c1::typical}} breakfast is toast and eggs.,"""<img src=""""4000EEW_B01_U01_0016.jpg"""" />""",[sound:4000EEW_B01_U01_0016.word.mp3],[sound:4000EEW_B01_U01_0016.definition.mp3],[sound:4000EEW_B01_U01_0016.example.mp3]
4000EEW_B01_U01_0017,visit,,[vízit],v.,To <i>visit</i> is to go and spend time in another place or see another person.,She wants to <b>visit</b> her grandmother.,She wants to {{c1::visit}} her grandmother.,"""<img src=""""4000EEW_B01_U01_0017.jpg"""" />""",[sound:4000EEW_B01_U01_0017.word.mp3],[sound:4000EEW_B01_U01_0017.definition.mp3],[sound:4000EEW_B01_U01_0017.example.mp3]
4000EEW_B01_U01_0018,weather,,[weðər],n.,<i>Weather</i> is the temperature and the state of the outdoors.,Today’s <b>weather</b> is rainy and cloudy.,Today’s {{c1::weather}} is rainy and cloudy.,"""<img src=""""4000EEW_B01_U01_0018.jpg"""" />""",[sound:4000EEW_B01_U01_0018.word.mp3],[sound:4000EEW_B01_U01_0018.definition.mp3],[sound:4000EEW_B01_U01_0018.example.mp3]
4000EEW_B01_U01_0019,week,,[wiːk],n.,A <i>week</i> is a period of time that is seven days long.,What are you doing next <b>week</b>?,What are you doing next {{c1::week}}?,"""<img src=""""4000EEW_B01_U01_0019.jpg"""" />""",[sound:4000EEW_B01_U01_0019.word.mp3],[sound:4000EEW_B01_U01_0019.definition.mp3],[sound:4000EEW_B01_U01_0019.example.mp3]
4000EEW_B01_U01_0020,wine,,[wain],n.,<i>Wine</i> is an alcoholic drink made from grapes.,The store carried both red and white <b>wine</b>.,The store carried both red and white {{c1::wine}}.,"""<img src=""""4000EEW_B01_U01_0020.jpg"""" />""",[sound:4000EEW_B01_U01_0020.word.mp3],[sound:4000EEW_B01_U01_0020.definition.mp3],[sound:4000EEW_B01_U01_0020.example.mp3]
4000EEW_B01_U02_0021,adventure,,[ədvéntʃər],n.,An <i>adventure</i> is a fun or exciting thing that you do.,Riding in the rough water was an <b>adventure</b>.,Riding in the rough water was an {{c1::adventure}}.,"""<img src=""""4000EEW_B01_U02_0021.jpg"""">""",[sound:4000EEW_B01_U02_0021.word.mp3],[sound:4000EEW_B01_U02_0021.definition.mp3],[sound:4000EEW_B01_U02_0021.example.mp3]
4000EEW_B01_U02_0022,approach,,[əpróutʃ],v.,To <i>approach</i> something means to move close to it.,The boy <b>approached</b> his school.,The boy {{c1::approached}} his school.,"""<img src=""""4000EEW_B01_U02_0022.jpg"""" />""",[sound:4000EEW_B01_U02_0022.word.mp3],[sound:4000EEW_B01_U02_0022.definition.mp3],[sound:4000EEW_B01_U02_0022.example.mp3]
4000EEW_B01_U02_0023,carefully,,[kɛ́ərfəli],adv.,"<i>Carefully</i> means with great attention, especially to detail or safety.",The baby <b>carefully</b> climbed down the stairs.,The baby {{c1::carefully}} climbed down the stairs.,"""<img src=""""4000EEW_B01_U02_0023.jpg"""" />""",[sound:4000EEW_B01_U02_0023.word.mp3],[sound:4000EEW_B01_U02_0023.definition.mp3],[sound:4000EEW_B01_U02_0023.example.mp3]
4000EEW_B01_U02_0024,chemical,,[kémikəl],n.,A <i>chemical</i> is something that scientists use in chemistry.,The scientist mixed the <b>chemicals</b>.,The scientist mixed the {{c1::chemicals}}.,"""<img src=""""4000EEW_B01_U02_0024.jpg"""">""",[sound:4000EEW_B01_U02_0024.word.mp3],[sound:4000EEW_B01_U02_0024.definition.mp3],[sound:4000EEW_B01_U02_0024.example.mp3]
4000EEW_B01_U02_0025,create,,[kriéit],v.,To <i>create</i> means to make something new.,She <b>created</b> an igloo from blocks of snow.,She {{c1::created}} an igloo from blocks of snow.,"""<img src=""""4000EEW_B01_U02_0025.jpg"""">""",[sound:4000EEW_B01_U02_0025.word.mp3],[sound:4000EEW_B01_U02_0025.definition.mp3],[sound:4000EEW_B01_U02_0025.example.mp3]
4000EEW_B01_U02_0026,evil,,[íːvəl],adj.,"<i>Evil</i> describes something or someone bad or cruel, not good.","They felt a strange, <b>evil</b> presence as they got closer to the house.","They felt a strange, {{c1::evil}} presence as they got closer to the house.","""<img src=""""4000EEW_B01_U02_0026.jpg"""" />""",[sound:4000EEW_B01_U02_0026.word.mp3],[sound:4000EEW_B01_U02_0026.definition.mp3],[sound:4000EEW_B01_U02_0026.example.mp3]
4000EEW_B01_U02_0027,experiment,,[ikspérəmənt],n.,An <i>experiment</i> is a test that you do to see what will happen.,The student did an <b>experiment</b> in science class.,The student did an {{c1::experiment}} in science class.,"""<img src=""""4000EEW_B01_U02_0027.jpg"""" />""",[sound:4000EEW_B01_U02_0027.word.mp3],[sound:4000EEW_B01_U02_0027.definition.mp3],[sound:4000EEW_B01_U02_0027.example.mp3]
4000EEW_B01_U02_0028,kill,"""<b>kill two birds with one stone<br>kill the clock</b> (<span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">if a sports team tries to&nbsp;</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">run </span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">kill the clock</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">&nbsp;at the end of a game, it stops trying to score and just tries to keep hold of the ball to stop the other team from scoring)<br></span><b>kill time,&nbsp;kill an hour, a couple of hours, etc.</b> (<span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">to spend time doing something that is not important while you are waiting for something else to happen [</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: italic; font-weight: inherit;""""><span style=""""font-weight: inherit;"""">We killed time playing cards.])<br></span></span></span><b>have time to kill&nbsp;</b>""",[kil],v.,To <i>kill</i> someone or something is to make them die.,I <b>killed</b> the fly.,I {{c1::killed}} the fly.,"""<img src=""""4000EEW_B01_U02_0028.jpg"""">`""",[sound:4000EEW_B01_U02_0028.word.mp3],[sound:4000EEW_B01_U02_0028.definition.mp3],[sound:4000EEW_B01_U02_0028.example.mp3]
4000EEW_B01_U02_0029,laboratory,in a/the laboratory<br>,[lǽbərətɔ̀ːri],n.,A <i>laboratory</i> is a room where a scientist works.,My mother works in a <b>laboratory</b>.,My mother works in a {{c1::laboratory}}.,"""<img src=""""4000EEW_B01_U02_0029.jpg"""">""",[sound:4000EEW_B01_U02_0029.word.mp3],[sound:4000EEW_B01_U02_0029.definition.mp3],[sound:4000EEW_B01_U02_0029.example.mp3]
4000EEW_B01_U02_0030,laugh,,[læf],n.,<i>Laugh</i> is the sound made when someone is happy or a funny thing occurs.,The sound of her <b>laugh</b> filled the room.,The sound of her {{c1::laugh}} filled the room.,"""<img src=""""4000EEW_B01_U02_0030.jpg"""" />""",[sound:4000EEW_B01_U02_0030.word.mp3],[sound:4000EEW_B01_U02_0030.definition.mp3],[sound:4000EEW_B01_U02_0030.example.mp3]
4000EEW_B01_U02_0031,loud,,[laud],adj.,"If a sound is <i>loud</i>, it is strong and very easy to hear.",The man’s voice was so <b>loud</b> that we all could hear him.,The man’s voice was so {{c1::loud}} that we all could hear him.,"""<img src=""""4000EEW_B01_U02_0031.jpg"""" />""",[sound:4000EEW_B01_U02_0031.word.mp3],[sound:4000EEW_B01_U02_0031.definition.mp3],[sound:4000EEW_B01_U02_0031.example.mp3]
4000EEW_B01_U02_0032,nervous,,[nə́ːrvəs],adj.,"When a person is <i>nervous</i>, they think something bad will happen.",The boy became <b>nervous</b> when he heard the news.,The boy became {{c1::nervous}} when he heard the news.,"""<img src=""""4000EEW_B01_U02_0032.jpg"""" />""",[sound:4000EEW_B01_U02_0032.word.mp3],[sound:4000EEW_B01_U02_0032.definition.mp3],[sound:4000EEW_B01_U02_0032.example.mp3]
4000EEW_B01_U02_0033,noise,,[nɔiz],n.,A <i>noise</i> is an unpleasant sound.,The crying baby made a loud <b>noise</b>.,The crying baby made a loud {{c1::noise}}.,"""<img src=""""4000EEW_B01_U02_0033.jpg"""" />""",[sound:4000EEW_B01_U02_0033.word.mp3],[sound:4000EEW_B01_U02_0033.definition.mp3],[sound:4000EEW_B01_U02_0033.example.mp3]
4000EEW_B01_U02_0034,project,,[prάdʒekt],n.,A <i>project</i> is a type of work that you do for school or a job.,His afternoon work <b>project</b> was to paint the room green.,His afternoon work {{c1::project}} was to paint the room green.,"""<img src=""""4000EEW_B01_U02_0034.jpg"""" />""",[sound:4000EEW_B01_U02_0034.word.mp3],[sound:4000EEW_B01_U02_0034.definition.mp3],[sound:4000EEW_B01_U02_0034.example.mp3]
4000EEW_B01_U02_0035,scare,,[skɛəːr],v.,To <i>scare</i> someone is to make them feel afraid.,My uncle was <b>scared</b> by what he saw in the room.,My uncle was {{c1::scared}} by what he saw in the room.,"""<img src=""""4000EEW_B01_U02_0035.jpg"""" />""",[sound:4000EEW_B01_U02_0035.word.mp3],[sound:4000EEW_B01_U02_0035.definition.mp3],[sound:4000EEW_B01_U02_0035.example.mp3]
4000EEW_B01_U02_0036,secret,,[síːkrit],n.,A <i>secret</i> is something that you do not tell other people.,The two boys were sharing a <b>secret</b>.,The two boys were sharing a {{c1::secret}}.,"""<img src=""""4000EEW_B01_U02_0036.jpg"""">""",[sound:4000EEW_B01_U02_0036.word.mp3],[sound:4000EEW_B01_U02_0036.definition.mp3],[sound:4000EEW_B01_U02_0036.example.mp3]
4000EEW_B01_U02_0037,shout,,[ʃaut],v.,To <i>shout</i> is to say something loudly.,My boss <b>shouted</b> at me because I was late for work.,My boss {{c1::shouted}} at me because I was late for work.,"""<img src=""""4000EEW_B01_U02_0037.jpg"""" />""",[sound:4000EEW_B01_U02_0037.word.mp3],[sound:4000EEW_B01_U02_0037.definition.mp3],[sound:4000EEW_B01_U02_0037.example.mp3]
4000EEW_B01_U02_0038,smell,,[smel],v.,To <i>smell</i> something means to use your nose to sense it.,The two friends <b>smelled</b> the flower.,The two friends {{c1::smelled}} the flower.,"""<img src=""""4000EEW_B01_U02_0038.jpg"""" />""",[sound:4000EEW_B01_U02_0038.word.mp3],[sound:4000EEW_B01_U02_0038.definition.mp3],[sound:4000EEW_B01_U02_0038.example.mp3]
4000EEW_B01_U02_0039,terrible,,[térəbəl],adj.,"If something is <i>terrible</i>, it is very bad.",The way he treated his classmate was <b>terrible</b>.,The way he treated his classmate was {{c1::terrible}}.,"""<img src=""""4000EEW_B01_U02_0039.jpg"""" />""",[sound:4000EEW_B01_U02_0039.word.mp3],[sound:4000EEW_B01_U02_0039.definition.mp3],[sound:4000EEW_B01_U02_0039.example.mp3]
4000EEW_B01_U02_0040,worse,,[wəːrs],adj.,"If something is <i>worse</i>, it is of poorer quality than another thing.",Business was <b>worse</b> this month than last month.,Business was {{c1::worse}} this month than last month.,"""<img src=""""4000EEW_B01_U02_0040.jpg"""" />""",[sound:4000EEW_B01_U02_0040.word.mp3],[sound:4000EEW_B01_U02_0040.definition.mp3],[sound:4000EEW_B01_U02_0040.example.mp3]
4000EEW_B01_U03_0041,alien,,[éiljən],n.,An <i>alien</i> is a creature from a different world.,The <b>alien</b> came in peace.,The {{c1::alien}} came in peace.,"""<img src=""""4000EEW_B01_U03_0041.jpg"""" />""",[sound:4000EEW_B01_U03_0041.word.mp3],[sound:4000EEW_B01_U03_0041.definition.mp3],[sound:4000EEW_B01_U03_0041.example.mp3]
4000EEW_B01_U03_0042,among,,[əmʌ̀ŋ],prep.,"If you are <i>among</i> certain things, they are all around you.",There was a red apple <b>among</b> the green ones.,There was a red apple {{c1::among}} the green ones.,"""<img src=""""4000EEW_B01_U03_0042.jpg"""" />""",[sound:4000EEW_B01_U03_0042.word.mp3],[sound:4000EEW_B01_U03_0042.definition.mp3],[sound:4000EEW_B01_U03_0042.example.mp3]
4000EEW_B01_U03_0043,chart,,[tʃɑːrt],n.,A <i>chart</i> is a list of information.,We used a <b>chart</b> to see how we had improved.,We used a {{c1::chart}} to see how we had improved.,"""<img src=""""4000EEW_B01_U03_0043.jpg"""" />""",[sound:4000EEW_B01_U03_0043.word.mp3],[sound:4000EEW_B01_U03_0043.definition.mp3],[sound:4000EEW_B01_U03_0043.example.mp3]
4000EEW_B01_U03_0044,cloud,,[klaud],n.,A <i>cloud</i> is a group of water drops in the sky.,The sky was filled with white <b>clouds</b>.,The sky was filled with white {{c1::clouds}}.,"""<img src=""""4000EEW_B01_U03_0044.jpg"""">""",[sound:4000EEW_B01_U03_0044.word.mp3],[sound:4000EEW_B01_U03_0044.definition.mp3],[sound:4000EEW_B01_U03_0044.example.mp3]
4000EEW_B01_U03_0045,describe,,[diskráib],v.,To <i>describe</i> is to say or write what someone or something is like.,"They <b>described</b> their tree as colorful, with gold ribbon and a star.","They {{c1::described}} their tree as colorful, with gold ribbon and a star.","""<img src=""""4000EEW_B01_U03_0045.jpg"""" />""",[sound:4000EEW_B01_U03_0045.word.mp3],[sound:4000EEW_B01_U03_0045.definition.mp3],[sound:4000EEW_B01_U03_0045.example.mp3]
4000EEW_B01_U03_0046,ever,,[évər],adv.,<i>Ever</i> means at any time.,Going skiing last winter was the most fun I’ve <b>ever</b> had.,Going skiing last winter was the most fun I’ve {{c1::ever}} had.,"""<img src=""""4000EEW_B01_U03_0046.jpg"""" />""",[sound:4000EEW_B01_U03_0046.word.mp3],[sound:4000EEW_B01_U03_0046.definition.mp3],[sound:4000EEW_B01_U03_0046.example.mp3]
4000EEW_B01_U03_0047,fail,,[feil],v.,To <i>fail</i> means you do not succeed in what you try to do.,"Since he <b>failed</b> to get the job, he was sad.","Since he {{c1::failed}} to get the job, he was sad.","""<img src=""""4000EEW_B01_U03_0047.jpg"""" />""",[sound:4000EEW_B01_U03_0047.word.mp3],[sound:4000EEW_B01_U03_0047.definition.mp3],[sound:4000EEW_B01_U03_0047.example.mp3]
4000EEW_B01_U03_0048,grade,,[greid],n.,A <i>grade</i> is a score or mark given to someone’s work.,I managed to get good <b>grades</b> on my report card.,I managed to get good {{c1::grades}} on my report card.,"""<img src=""""4000EEW_B01_U03_0048.jpg"""" />""",[sound:4000EEW_B01_U03_0048.word.mp3],[sound:4000EEW_B01_U03_0048.definition.mp3],[sound:4000EEW_B01_U03_0048.example.mp3]
4000EEW_B01_U03_0049,instead,,[instéd],adv.,<i>Instead</i> means in place of.,He ate the carrot <b>instead</b> of the ice cream.,He ate the carrot {{c1::instead}} of the ice cream.,"""<img src=""""4000EEW_B01_U03_0049.jpg"""" />""",[sound:4000EEW_B01_U03_0049.word.mp3],[sound:4000EEW_B01_U03_0049.definition.mp3],[sound:4000EEW_B01_U03_0049.example.mp3]
4000EEW_B01_U03_0050,library,,[láibrèri],n.,A <i>library</i> is a place where you go to read books.,The <b>library</b> at school is full of books.,The {{c1::library}} at school is full of books.,"""<img src=""""4000EEW_B01_U03_0050.jpg"""" />""",[sound:4000EEW_B01_U03_0050.word.mp3],[sound:4000EEW_B01_U03_0050.definition.mp3],[sound:4000EEW_B01_U03_0050.example.mp3]
4000EEW_B01_U03_0051,photograph,,[fóutəgrӕf],n.,I like taking <i>photographs</i>.,I took this <b>photograph</b> with my cell phone.,I took this {{c1::photograph}} with my cell phone.,"""<img src=""""4000EEW_B01_U03_0051.jpg"""" />""",[sound:4000EEW_B01_U03_0051.word.mp3],[sound:4000EEW_B01_U03_0051.definition.mp3],[sound:4000EEW_B01_U03_0051.example.mp3]
4000EEW_B01_U03_0052,planet,,[plǽnət],n.,A <i>planet</i> is a large round thing in space.,Saturn is the <b>planet</b> with the ring around it.,Saturn is the {{c1::planet}} with the ring around it.,"""<img src=""""4000EEW_B01_U03_0052.jpg"""" />""",[sound:4000EEW_B01_U03_0052.word.mp3],[sound:4000EEW_B01_U03_0052.definition.mp3],[sound:4000EEW_B01_U03_0052.example.mp3]
4000EEW_B01_U03_0053,report,"&nbsp;a written or spoken&nbsp;description&nbsp;of a situation or event, giving people the information they need",[ripɔ́ːrt],n.,A <i>report</i> is something someone writes for school or work.,Karen had trouble writing her <b>report</b>.,Karen had trouble writing her {{c1::report}}.,"""<img src=""""4000EEW_B01_U03_0053.jpg"""">""",[sound:4000EEW_B01_U03_0053.word.mp3],[sound:4000EEW_B01_U03_0053.definition.mp3],[sound:4000EEW_B01_U03_0053.example.mp3]
4000EEW_B01_U03_0054,several,,[sévərəl],adj.,<i>Several</i> is more than two but not many.,He had to read <b>several</b> books for class.,He had to read {{c1::several}} books for class.,"""<img src=""""4000EEW_B01_U03_0054.jpg"""" />""",[sound:4000EEW_B01_U03_0054.word.mp3],[sound:4000EEW_B01_U03_0054.definition.mp3],[sound:4000EEW_B01_U03_0054.example.mp3]
4000EEW_B01_U03_0055,shape,,[ʃeip],n.,An object’s <i>shape</i> is the arrangement of its sides and surfaces.,Even with your eyes closed you can feel the <b>shape</b> of it.,Even with your eyes closed you can feel the {{c1::shape}} of it.,"""<img src=""""4000EEW_B01_U03_0055.jpg"""" />""",[sound:4000EEW_B01_U03_0055.word.mp3],[sound:4000EEW_B01_U03_0055.definition.mp3],[sound:4000EEW_B01_U03_0055.example.mp3]
4000EEW_B01_U03_0056,solve,,[sɑlv],v.,To <i>solve</i> something is to find an answer to it.,All the students could easily <b>solve</b> the math problem.,All the students could easily {{c1::solve}} the math problem.,"""<img src=""""4000EEW_B01_U03_0056.jpg"""" />""",[sound:4000EEW_B01_U03_0056.word.mp3],[sound:4000EEW_B01_U03_0056.definition.mp3],[sound:4000EEW_B01_U03_0056.example.mp3]
