Id,Mixed Meaning
4000EEW_B01_U01_0011,"<ul><li>To enjoy something is to take delight or pleasure in something: to have fun doing it. Whatever you like or love, you enjoy.</li><li>Saying you enjoy something is a major compliment: it means you like it, and it makes you happy. Some people enjoy sports; others enjoy music. TV, movies, books, video games, sunny days, pets, and exercise are enjoyed by many people. Different people enjoy different things. We can also talk about enjoying as a type of advantage. A tall boxer enjoys an advantage because he has a longer reach than a short boxer.</li></ul>"
4000EEW_B01_U01_0012,"<ul><li>When you invite a friend to do something, you request her company, or encourage her to come with you. You might invite a group of neighbors to help you throw a block party.</li><li>You could invite your friend to join you on a road trip, or invite your parents to your art show at a local gallery. You're making a polite request. Similarly, a newspaper might invite readers' comments, or a school might invite ideas for how to spend grant money. Invite is also casual shorthand for ""invitation."" When you tempt someone to react, you also invite that reaction: ""Your strange film really invites harsh criticism.""</li></ul>"
4000EEW_B01_U01_0013,"<ul><li>How can we love our partners, our parents, sunsets at the beach, cats, and Fridays? The types of love listed here mean different things — but what remains is the certainty, at least for now, that what you love is what you adore.</li><li>Love is an expression of emotion. Love, it is said, can make you walk miles barefoot in the rain just to see the person you can't stop thinking about. Or, it can make you cross the street because the store ""you love"" is located there. Love is a versatile word — like what it describes. Love takes many forms, but the word typically describes an affection that is deep and emotional. If you say you’re “in love,” that tends to refer to the romantic kind of love.</li></ul>"
4000EEW_B01_U01_0014,"<ul><li>A year is divided into twelve months, starting with January and ending with December. If it takes you a month to read a book, it takes approximately thirty days.</li><li>A month is a unit of time that corresponds to the phases of the moon — which is the reason the word month, which comes from the Proto-Germanic menoth, is closely related to the word moon, whose root is menon. People have kept track of days this way since Paleolithic times, and even those who don't use the Gregorian, twelve-month calendar, still divide a year into months based on the moon.</li></ul>"
4000EEW_B01_U01_0015,"<ul><li>To travel is the act of going from one place to another, usually a considerable distance. Your daily commute in the morning doesn't generally count as travel. Your trip to Timbuktu? That counts.</li><li>Travel can also be used as a noun — as in your travels to Timbuktu. Or perhaps you prefer time travel or space travel. Objects that are especially adapted for use when you travel are often modified by the word travel; for example, a ""travel-bag,"" ""travel- games,"" or a ""travel iron."" And if something is particularly popular in another country or culture from its place of origin, say a cheese, a wine, or a type of music, it's said to ""travel well.""</li></ul>"
4000EEW_B01_U01_0016,"<ul><li>When something is typical, it is common, regular, expected — hanging out with friends and playing computer games are typical activities of American teens.</li><li>To be typical is to be of a type, meaning that a person or thing has the same characteristics of everyone or everything else in the group, like a typical student, trying to talk the teacher out of giving homework over break. Something that is typical is what you can expect, like reading a guidebook about a faraway country you will visit to learn the typical weather and kinds of food you will encounter while you are there.</li></ul>"
4000EEW_B01_U01_0017,"<ul><li>When you travel to another place, or spend some time at a friend's house, it's a visit. You should visit your grandmother! It's been a while since she's had a visit from you.</li><li>Whenever you spend a temporary amount of time with another person or in another place, that's a visit — whether it's your visit to San Francisco or your visit to the doctor for a checkup. In some parts of the U.S., visit is also a name for a chat: ""I had a nice visit with your Aunt Sylvia yesterday."" And if you pay a visit to someone, you go see them for a while.</li></ul>"
4000EEW_B01_U01_0018,"<ul><li>Weather is the atmospheric conditions, including the temperature, wind, snow, rain, or anything else happening outside. People tend to talk about the weather when they can't think of anything else to talk about.</li><li>In some places, people say, ""Don't like the weather? Wait an hour and it'll change."" Every day, experts try to predict the weather, but they never get it exactly right. You can also use weather to mean ""endure something,"" as in ""I weathered the storm at work."" That's not a real storm, but a stormy situation. Even though the weather drives us all crazy at times, at least it gives us something to blab about.</li></ul>"
4000EEW_B01_U01_0019,"<ul><li>Seven days make up one week, and there are 52 weeks in a year. If you won't see your friend again until next Thursday, you can say, ""See you next week!""</li><li>Before the adoption of the Roman calendar, a week was more of a vague kind of change or succession, like the turning of a full moon to a half moon, for example. The modern week is strictly calendar-related, and seven days long, unless you're talking about a ""work week"" or a ""school week,"" as in ""I have Friday off, so my school week ends tomorrow!""</li></ul>"
4000EEW_B01_U01_0020,
4000EEW_B01_U02_0021,"<ul><li>An adventure is an exciting and probably risky trip, effort, or undertaking. Let's go explore the jungle! Don't be scared — it'll be an adventure!</li><li>To a kid from the city, a ride on the subway is just another trip across town. To a kid from the suburbs, though, it can be a real adventure — a trip to a strange place with all sorts of strange people, new sights, and surprising twists and turns. If you've ever been to the Great Adventure amusement park, you know that the whole place is designed to make you feel as though you're on a wild, exciting, and thrilling trip — a great adventure. People often go on an adventure hoping something wonderful will come of it.</li></ul>"
4000EEW_B01_U02_0022,"<ul><li>To approach is to get near something. An airplane is cleared for a final approach just as the wheels approach the landing strip.</li><li>Approach comes from the Latin word appropriare which means ""go nearer to."" You can physically approach something, like a waiter going to a table. Or, you can approach a subject, usually one you're a little nervous about — like a new employee might approach her boss about getting a raise. Time can also approach, like winter, midnight, or even old age.</li></ul>"
4000EEW_B01_U02_0023,"<ul><li>Carefully means cautiously or painstakingly. If you carefully study your vocabulary words, you'll ace your next quiz!</li><li>This adverb comes from the Old English carfullice — but before coming to mean ""in a way that avoids harm,"" it meant ""sorrowfully."" In fact, the very oldest meaning of care was ""to be anxious or to grieve."" These days, you don't cry when you do something carefully. You just take your time and make sure you're doing it right and that no one's being harmed by it, like when you check carefully behind your car for the neighbor's cat before you back out of the driveway.</li></ul>"
4000EEW_B01_U02_0024,"<ul><li>A chemical is any mix of raw elements: hydrogen + oxygen produce the chemical water. Water is created by a change in the chemistry of hydrogen and oxygen atoms — a chemical change.</li><li>Be cautious of the negative reaction people have to chemical substances. Chemicals often bring to mind deadly substances, such as asbestos or deadly chemical weapons. But many chemicals are part of our everyday life. Our lives would be drastically different without chemical compounds — think of the infection that would result if we didn't have the chemical hydrogen peroxide for cleaning out cuts.</li></ul>"
4000EEW_B01_U02_0025,"<ul><li>To create simply means to make or bring into existence. Bakers create cakes, ants create problems at picnics, and you probably created a few imaginary friends when you were little.</li><li>Similar to conceive and spawn and the exact opposite of destroy, create is a word that often implies a little bit of imagination. In fact, it takes a lot of creativity to create something spectacular; that is, unless you're a robot, and then your creations occur automatically. Or Mother Nature, where creation just happens naturally: Birds create nests, the tides create waves, and snowstorms create days off from school.</li></ul>"
4000EEW_B01_U02_0026,"<ul><li>Evil is the opposite of good. We usually think of villains as evil — wrong, immoral and nasty on many levels — and heroes as good.</li><li>This word is often reserved for our most terrible crimes and criminals: Adolf Hitler is usually the face of evil in history, while Voldemort is that face in recent literature. Evil can be less extreme, meaning simply anything that brings harm; we can talk about the evils of alcohol or the evils of power. When both major candidates for President seem lame, people often say they're choosing between the lesser of two evils. Not all evils are equally evil.</li></ul>"
4000EEW_B01_U02_0027,"<ul><li>If you see your science-loving neighbor headed home with a power cord, a handful of test tubes, a stopwatch, and a bag of potatoes, there’s probably no need to be alarmed. There’s a good chance he’s only conducting an experiment, a scientific test conducted under controlled conditions.</li><li>To refer to a scientific test, use the noun experiment. If you want to describe the work done in conducting such a test, experiment will do the trick as well, since it can also act as a verb, as in ""scientists experiment with helium."" You can also use it more generally to describe trying a new method or idea. For example, you could experiment with a new hairstyle or different routes to get to school or work.</li></ul>"
4000EEW_B01_U02_0028,"<ul><li>To kill is to end the life of some living being or something else. So, you could kill a deer by shooting it with a hunting rifle or kill a bill by voting against it.</li><li>Hunters kill animals for their meat, and drivers sometimes kill an animal accidentally, or inadvertently kill a plant, simply by forgetting to water it. Certain inanimate things are also said to kill, like poison or disease or drunk driving. In each of these cases, death is caused and life is taken. You can also kill figuratively, as when a school board kills the foreign language program or a thunderstorm kills your hopes of a picnic.</li></ul>"
4000EEW_B01_U02_0029,"<ul><li>A laboratory is a place where experiments happen, usually scientific experiments involving chemicals and lab coats, but there are creative and athletic laboratories too, where people experiment with writing and footballs.</li><li>When you think of a laboratory, you might see men and women wearing face masks pouring colorful liquids into test tubes, and you’d be correct.  Any place that is a testing ground for new ideas is a laboratory, like a class full of people thinking up new ways to make paper airplanes.  The Latin verb laborare means “to labor,” so remember that a laboratory is a place of hard work: you can’t spell laboratory without labor in it.</li></ul>"
4000EEW_B01_U02_0030,"<ul><li>To let out a chuckle or giggle is to laugh: people laugh when something is funny.</li><li>To chortle, cackle, guffaw, or titter is to laugh. The job of a comedian is to make people laugh. Often people laugh at things that aren't supposed to be funny, and people also laugh to be polite. If something is silly, you can say ""That's a laugh!"" If you had fun at a party, you can say ""Thanks for the laughs."" Everybody's laugh sounds a little different. It would be a shame if your laugh sounded like Elmer Fudd.</li></ul>"
4000EEW_B01_U02_0031,"<ul><li>The adjective loud describes a noise that has a very high volume, like loud music at a concert that kept your ears ringing even after you left.</li><li>The word loud comes from the Old English word hlud, which means ""making noise, sonorous.""Loud is most often used to describe the volume level of music, but it can also refer to voices or other sounds that are unpleasant and high-volumed. Loud can also describe a tasteless or showy fashion choice, like a loud Hawaiian shirt paired with bright orange shorts.</li></ul>"
4000EEW_B01_U02_0032,"<ul><li>You know that queasy, uneasy feeling you get before a test? That's a nervous feeling. Everyone gets nervous sometimes.</li><li>Being nervous is a major part of life that everyone has to deal with at times. Some people are more nervous than others, but we all get nervous about certain things — for example, having to perform in front of a crowd makes most people nervous. Getting interviewed for a job is a nervous experience. When the stock market keeps going up or down, you could say it's a nervous stock market. Nervous also applies to the body's nervous system, which includes your brain, spinal cord, and the nerves throughout your body. If you think you injured your nervous system, that's a good reason to be nervous.</li></ul>"
4000EEW_B01_U02_0033,"<ul><li>A noise is any sound. Often, it means a sound people don't like, like the noise of traffic or a barking dog.</li><li>When someone yells ""What is that noise?!"" you can be sure they're not happy about what they're hearing. They mean noise as anything too loud or annoying. When it comes to music, people often disagree on what's noise and what isn't. Your noise might be another person's lullaby. A car siren will wake you up, but some noises can be soothing. ""White noise"" is an electronically generated sound often used to help someone fall asleep.</li></ul>"
4000EEW_B01_U02_0034,"<ul><li>A project is a piece of work that is planned or intended. Plan a little extra time for your gingerbread house project — gluing the walls and roof can take a while.</li><li>If you call a person your project, pronounced PRAH-jekt, it means you are trying to improve them by telling them how to behave, etc. As a verb, pronounced pro-JEKT, it means to jut out literally — The fireplace projects into the dining room — or figuratively — Try to project your ideas forcefully. If you assume another person is feeling the same things you are, you are projecting your feelings onto them.</li></ul>"
4000EEW_B01_U02_0035,"<ul><li>Scare is a verb that means frighten or intimidate. You might be embarrassed to admit that you don't want to go to the beach with your friends because of how much seagulls scare you.</li><li>Questions on a test you're unprepared for might scare you, and so might a barking dog. To scare is to spook, startle, or cause fear, and what scares your best friend most (like losing his job) might not be what would scare you more than anything (like discovering a huge snake in your shower). You can also use scare as a noun, as in ""It gave me such a scare when all my friends jumped out and yelled, 'Surprise!'""</li></ul>"
4000EEW_B01_U02_0036,"<ul><li>A secret is something you don’t want everybody to know, like your secret crush on the bus driver. A secret can also be a mystery known to only a few — the secret of the lost pyramid.</li><li>There might be a secret passageway in your basement that only you know about. You could have a secret passion for Japanese anime comics and share that secret with only your closest friends. If you're ""in on a secret"" — plans for a surprise birthday party, for instance — that means you're in the inner circle of people in the know. Everybody has to keep the secret, or the party won't be a surprise.</li></ul>"
4000EEW_B01_U02_0037,
4000EEW_B01_U02_0038,"<ul><li>Smell is one of your five senses—the one you use your nose for. Dogs have such a sharp sense of smell that they can sniff out things like explosives and drugs.</li><li>Your sense of smell gives you important information, like ""this milk is sour,"" or ""I need a shower."" An individual odor or scent is also a smell, and to perceive it with your nose is to smell it. If someone says, ""You smell,"" it's not a compliment—what they mean is, ""You don't smell good."" While experts believe that smell has an Old English root, it was never recorded.</li></ul>"
4000EEW_B01_U02_0039,"<ul><li>The original meaning of terrible was anything that causes terror. That meaning still applies, but mostly this is a word for anything really bad.</li><li>Terrible used to be reserved for things that caused fear and terror, but today we use the word to describe anything awful, lousy, or just plain bad. People like saying ""That movie was terrible!"" or ""The Yankees are terrible!"" If you get a D on a test, you might tell your friends the test (or teacher) is terrible. Or you might also say, ""I am terrible at taking tests.""</li></ul>"
4000EEW_B01_U02_0040,"<ul><li>Worse means ""not as good as something else"" or ""changed negatively,"" like a sore throat that is getting worse, meaning it hurts more now.</li><li>Worse comes from the Old Saxon word werran or ""to entangle, compound."" To compound is to add to, so if troubles, complication, or anything else that entangles are added to a situation, it will get worse. Remember that worse is used to compare two things, such as ""now"" and ""before,"" while worst compares three or more things. You might use worse than yesterday, but this doesn't make it the worst cold you ever had.</li></ul>"
4000EEW_B01_U03_0041,"<ul><li>Something that's alien is different or foreign. In science fiction, space aliens come from other planets.</li><li>When we talk about aliens, or things that are alien, we're talking about things and people that are different and strange to us — like an alien from outer space. Some people refer to undocumented immigrants as ""aliens,"" but nowadays, the term is often considered dehumanizing. Besides people, experiences can be alien. If you've never owned a cat, then having a cat is alien to you. You can also alienate people by making them feel weird, disconnected, and alone — like an alien.</li></ul>"
4000EEW_B01_U03_0042,
4000EEW_B01_U03_0043,"<ul><li>Whether it's a kind of graph, a map, or even a piece of music, a chart is a visual display of information. As a verb, chart means to make that kind of display.</li><li>Some words' meanings grow narrower over the centuries. But in the case of chart, which comes from the French charte and Latin charta, ""map,"" the meanings have grown a lot since the 1500s. Now, chart is a noun meaning any visual index of information, as in ""that song is shooting up the charts."" It's also still a map, as in ""harbor chart."" And it's a verb, as in ""to chart your progress, make a chart.""</li></ul>"
4000EEW_B01_U03_0044,"<ul><li>A cloud is a clump of water vapor that you can see in the sky. Clouds are sometimes white and puffy, and other times so big and gray that they completely block the sun.</li><li>Clouds form when air rises and cools and the moisture in it condenses into a visible form. Any similar billowy mass is also a cloud, like a cloud of smoke over your campfire or a cloud of dust after your car peels out of the driveway. If you're gloomy or morose, someone might say there's a cloud over you — a figurative cloud of sadness. On the other hand, if you're ""on cloud nine,"" you couldn't be happier.</li></ul>"
4000EEW_B01_U03_0045,"<ul><li>To describe is to report details about something either out loud or in writing. ""Since we can't come to Paris with you, please describe it in your letter!""</li><li>Describe is from the Latin word describere which means  ""to write down."" When you describe something, you're ""da"" scribe, the person writing things down! Writing teachers love to have students describe, using lots of details using the five senses and figurative language. It doesn't have to be written down, though — you can also describe that gold dress you saw to your friend on the phone. Or you can describe a circle, by sketching it out with a stick in the sand.</li></ul>"
4000EEW_B01_U03_0046,
4000EEW_B01_U03_0047,"<ul><li>The verb fail describes something that stops working, like brakes in a car that fail, or is found to be unacceptable, like restaurants that fail their inspection for cleanliness.</li><li>The verb fail comes from the Old French word faillir, meaning “be lacking,” “miss,” or “not succeed.” You can fail an exam, which means you didn't get at least a minimum number of points to pass. You can fail to live up to your potential, meaning you aren't able to meet expectations. When businesses fail, it means  financial problems force them to close.</li></ul>"
4000EEW_B01_U03_0048,"<ul><li>Grade means ""to evaluate or rank,"" like teachers who grade their students or a food inspector who grades a crop, determining whether it is ""food-grade.""</li><li>Grade can be both a noun and a verb. The verb form is used when you grade something, meaning you assign it a value. The actual mark assigned is the noun version of the word grade, such as an A or B. The noun grade can be used to indicate the rank or quality of other items as well, like professional-grade cookware. Grade can also describe the slope of a mountain or road, like a steep grade that is dangerous in bad weather.</li></ul>"
4000EEW_B01_U03_0049,"<ul><li>The adverb instead means in place of or as a substitute for something else. If your best friend has a temper tantrum every time you play miniature golf, maybe next time you should go to the movies instead.</li><li>The adverb instead was originally two words, ""in stead,"" with ""stead"" coming from stede, the Old English word for place. The adverb instead can also mean rather than, and in this context it's usually followed by ""of."" Instead of worrying about the weather for your vacation, which is beyond your control, you should worry about whether you packed everything you need.</li></ul>"
4000EEW_B01_U03_0050,"<ul><li>A library is a place where collections of books are kept. If you ever want a reminder of how very much there is to learn in this world, pay a visit to your local library.</li><li>The noun library, meaning, “a room or building where books are housed,” comes from the Latin librarium “chest for books.” That, in turn, evolved from the Latin liber, a word meaning “book, paper, parchment,” and, more literally, “the inner bark of trees.” The writer Jorge Luis Borges said, “I have always imagined that Paradise will be a kind of library.” What would your vision of paradise look like?</li></ul>"
4000EEW_B01_U03_0051,"<ul><li>When you take a picture with a camera, the result is a photograph, a picture of your subject created by a special medium’s exposure to light. The first photographs were created on metal plates coated with a special chemical.</li><li>Although photography as we know it did not emerge until the 19th century, the word photograph evolved from the ancient Greek words phot-, ""light,"" and graph-, ""writing,"" which were combined to create the word for taking pictures — ""light writing."" Nowadays we take our photographs with electronic cameras, recording, transferring, and storing the pictures digitally. Times change, and while many people still enjoy using film cameras, they are becoming increasingly rare, and certain types of films are no longer produced.</li></ul>"
4000EEW_B01_U03_0052,"<ul><li>A planet is a celestial body that revolves around a star. In our solar system, Earth is the third planet from the sun.</li><li>The word planet comes from the Greek planetes, which means ""wanderer."" Since ancient times, people have been fascinated by the wandering of celestial bodies in the night sky. If a variety of factors come together so that something works out well for you, you can say that the planets aligned. You parents weren't sure if your family was going to be able to go on vacation, but then the planets aligned and off to Florida you were.</li></ul>"
4000EEW_B01_U03_0053,"<ul><li>When you report something, you tell what happened.  After giving the details of your groundbreaking news story, you might end by saying, “...reporting live from Washington, D.C.”</li><li>In addition to the action of telling, what gets told is also called a report.  Your report on annual snowfall in New Mexico was brief but informative.  Report also applies to calling the police or other authorities.  You might not like the way your neighbor trims his poodle, but that doesn't mean you should report him for animal abuse.</li></ul>"
4000EEW_B01_U03_0054,"<ul><li>Two is a ""couple"" and more than two or three is several. If you eat four donuts you can say you had several but you may have had too many — especially if you get a stomach-ache.</li><li>Several is a word that shows size or number when you can’t be specific or when you want to summarize. If three, four, or five of you hang out, then you're spending time with several friends. Inviting 30 people over and telling your parents that several friends stopped by would be stretching the truth and you might get grounded. For how many weeks? Possibly several.</li></ul>"
4000EEW_B01_U03_0055,"<ul><li>The form of something gives it its shape. Basic shapes include the square, the circle, and the triangle. You may have a nose the shape of a ski slope.</li><li>When you admire someone's shape, you're admiring their form, or their body. When you're out of shape or vowing to get back into shape, you're using shape to refer to your physical stamina or overall health. You can shape something by giving it form, as in ""shape the dough into a braided twist,"" or influence someone, as in a teacher who shapes young minds.</li></ul>"
4000EEW_B01_U03_0056,"<ul><li>To solve something is to find a solution, like figuring out the answer to a complex riddle.</li><li>The verb solve is often used in mathematics, and it means to answer a math problem. You can solve other, non-mathematical problems too — like the question of what to wear when you've run out of clean clothes (your sibling's clothes!). The word solve originally came from the Latin solvere, which meant ""to loosen or untie."" If you think of any kind of complex problem as a knot, then the original definition of solve still makes sense!</li></ul>"
4000EEW_B01_U03_0057,"<ul><li>If you're walking on a crowded street and you stop suddenly — abruptly and without warning — somebody walking behind you may bump into you.</li><li>If you experience love at first sight, you've suddenly fallen in love. If you're driving at night and a deer jumps out in front of you, you might suddenly have to swerve to avoid it. Suddenly is the kind of adverb you might use a lot if you're describing the plot of an action movie, a mystery novel, or any story in which lots of unexpected things happen.</li></ul>"
4000EEW_B01_U03_0058,"<ul><li>If you suppose you want to see that new horror movie, you may not be too sure. Suppose means to guess, think, or imagine something without absolute certainty. Best to hold off and watch something funny instead.</li><li>Suppose also has the meaning of assuming something hypothetical for the sake of argument. You might ask, ""Suppose someone breaks in while I'm away?"" Suppose also has the more technical (and often legal) sense of something you must take for granted if some other condition is to happen. Your theory might suppose the victim was home by 8:00. In this last sense, suppose introduces something that's a precondition.</li></ul>"
4000EEW_B01_U03_0059,"<ul><li>To understand something is to comprehend or get it. The more we learn, the more we understand.</li><li>The goal of most education is to help students understand how the world works: history, math, English, music, science, and art are all complicated subjects that you need to practice and think about before you can really understand them. Understanding requires knowledge and thought. Another kind of understanding is like sympathy. For example, you might not approve of stealing, but you could understand why a guy would steal to feed his family.</li></ul>"
4000EEW_B01_U03_0060,"<ul><li>A view is a scene or vista that's visible from a certain point. If you think your hotel room has a view of the ocean, it'll be disappointing to open the blinds and discover your view of a Dumpster instead.</li><li>The range of what you can see is also called your view. When you're keeping an eye on kids at the beach, you try to keep them in your view. As a verb, view means to watch. It might be hard for you to sit still while you view a really scary movie, or even to keep from screaming out loud.</li></ul>"
4000EEW_B01_U04_0061,"<ul><li>Something appropriate is correct and fits the situation. A sweater-vest with reindeer on it is appropriate holiday apparel, even if it's totally embarrassing.</li><li>The adjective appropriate is used when something is suitable or fitting. It comes from the Latin appropriare, which means ""to make something fit, to make something one's own."" Going back even further, appropriate is related to the Latin word proprius, ""to belong to a person, thing, or group."" Another appropriate way to use this word is as a verb, meaning to steal or seize something, the way you'd appropriate your sister's sandwich if she left it sitting near you.</li></ul>"
4000EEW_B01_U04_0062,"<ul><li>If you avoid drinking coffee right before bed because it tends to keep you awake and makes you jittery, that means that you stay away from coffee at night.</li><li>The verb avoid means to stop yourself from doing something or to keep something from happening. You might avoid the old lady next door who smells funny and always wants to pinch your cheek, or you could avoid a certain dangerous neighborhood in your city by taking a different route when you're walking home. It's easy to get avoid confused with a similar word, evade, which means ""to avoid in a particularly tricky or sneaky way.""</li></ul>"
4000EEW_B01_U04_0063,"<ul><li>The way you act or conduct yourself is how you behave. Teachers and parents often tell kids Behave!</li><li>If you follow rules and get along with others, you behave well, while if you are nasty and rude, you behave badly. Behave can suggest acting in a polite manner, as when you tell a child (or an adult) to behave in public. We usually behave differently in different situations — like when no one is watching. If you tell someone ""practice what you preach"" you are pointing out that the way they behave doesn't quite match up to their words.</li></ul>"
4000EEW_B01_U04_0064,"<ul><li>Just saying the word calm reminds you of how it feels to be calm — steady, at rest, not agitated, chilled out, caaaaalllmmmm. Waters without waves? People without drama? Sounds calm.</li><li>Some synonyms of the adjective calm are peaceful and even-tempered. As a verb, it describes making someone steady and still — in other words, calm. Taking a walk or calling a friend might help you calm down when you are upset. As a noun, calm is a state of peace or stillness — the calm of your neighborhood at daybreak or the calm you seek when you exercise.</li></ul>"
4000EEW_B01_U04_0065,"<ul><li>Concern is both a noun and a verb. As a noun it's something that you find particularly important. If you love pizza, getting the crust just so is a major concern during your pizza party.</li><li>Concern can also be something or someone that makes you upset or anxious, like your concern over the quality of the pizza crust. It can be a feeling of sympathy, like when your mom expresses concern over your obsession with pizza crust. As a verb, concern means to be relevant to something. Your main goal today may concern studying for your math test. Concern can also describe worry. When you stay out past curfew, your mom will be concerned.</li></ul>"
4000EEW_B01_U04_0066,"<ul><li>If you feel content, you're satisfied and happy. The content of a book, movie, or song is what it's about: the topic.</li><li>This word has two main meanings. The first has to do with being pleased and satisfied (feeling content) or making someone else feel happy and at peace with things (contenting them). The other meaning has to do with subject matter: the content of a history class might be American history. The content of a math class might be geometry. As long as there's a topic or subject, there's content.</li></ul>"
4000EEW_B01_U04_0067,"<ul><li>If you expect something, you think it’s going to happen. If you got up at 4 in the morning, you can expect to fall asleep earlier than usual tonight.</li><li>If you expect (or anticipate) something, you are fairly sure that it is coming, though you might not be totally certain. You might expect to graduate from a certificate program on time, barring unforeseen events that prevent you from going to class. If you say, simply, “I’m expecting,” people will assume you’re pregnant. Someone disappointed in you might shake his head and say, ""I expected more from you.""</li></ul>"
4000EEW_B01_U04_0068,"<ul><li>If you do something frequently, you do it repeatedly, again and again. If you frequently visit the cookie jar, you might gain some unwanted pounds.</li><li>Doctors and nurses have to wash their hands frequently, many times each day, since they touch various patients and don't want to spread germs. When you're driving in rush hour traffic, you usually find yourself stopping frequently. Things that occur over and over, especially in a relatively short time frame, happen frequently. The adverb frequently comes from the adjective frequent, which originally meant ""profuse or ample,"" from the Latin root frequentem, ""crowded or repeated.""</li></ul>"
4000EEW_B01_U04_0069,"<ul><li>Any action that you perform regularly as part of your routine can be called a habit. Flossing your teeth would be considered a good habit. Sucking your thumb would be considered a bad habit, especially as an adult.</li><li>On New Year's people always vow to break their bad habits, but bad habits die hard. The noun habit can also refer to an established custom — like the habit of breaking bread with your family every holiday. On a completely different note, clothing that is worn for horseback riding, or by a nun or monk, can also be called a habit. All good nuns should be in the habit of washing their habits.</li></ul>"
