Word,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
abstract,adj.,/ˈæbstrækt/,existing only as an idea or quality rather than as something real that you can see or touch,انتزاعی، غیرواقعی,not concrete,,"""<img src=""""pia21983.jpg"""">""","""● It is easier to think in concrete terms rather than in the <font color=""""#0080bc"""">abstract</font>.<br>● <font color=""""#0080bc"""">Abstract</font> art is an acquired taste.<br>● an <font color=""""#0080bc"""">abstract</font> concept<br>● They had no <font color=""""#00557f"""">abstract</font> ideas; in their minds<br>all was concrete, visible and tangible.<br>● <font color=""""#0080bc"""">Abstract</font> words, such as glory, honour, courage, or hallow were obscene.<br>● Figurative painters today undoubtedly owe much to <font color=""""#0080bc"""">abstract</font> expressionism.<br>● It's an <font color=""""#0080bc"""">abstract</font> design that's supposed to represent freedom and strength.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absurd,adj.,/əbˈsɜːrd/,"(of an idea or suggestion) wildly unreasonable, illogical, or inappropriate.",مضحک - نامعقول,ridiculous &nbsp; farcical &nbsp; foolish &nbsp; idiotic &nbsp; irrational &nbsp; ludicrous,<br>[sound:ridiculous.mp3][sound:farcical.mp3][sound:irrational.mp3][sound:ludicrous.mp3],"""<img src=""""absurd (1).jpg"""">""","""● It seems quite <font color=""""#0080bc"""">absurd</font> to expect anyone to drive for 3 hours just for a 20-minute meeting.<br>● It seems an <font color=""""#0080bc"""">absurd</font> idea.<br>● We spent a year in a science class taken by an <font color=""""#0080bc"""">absurd</font> and ineffectual master.<br>● It is only one of the <font color=""""#0080bc"""">absurd</font> rules in the system of law laughingly known as British justice.<br>● testimony that lends color to an otherwise <font color=""""#0080bc"""">absurd</font> notion.<br>● Of course it's not true, what an <font color=""""#0080bc"""">absurd</font> idea.<br>● It's an <font color=""""#0080bc"""">absurd</font> situation - neither of them will talk to the other.<br>● He created an <font color=""""#0080bc"""">absurd</font> and funny universe that, though ridiculous, always seemed real and sincere.<br>● Duncan laughed at the <font color=""""#0080bc"""">absurdity</font> of the situation.""",,,,,,,absurdity,,,,,,,,,,,,,,,,,,,,,,
abundance,n.,/əˈbʌndəns/,a large quantity of something,فراوانی - وفور,great number,"""<font color=""""darkblue""""> &nbsp; large amount</font><font color=""""darkblue""""> &nbsp; plenty</font><br>[sound:large amount.mp3][sound:plenty.mp3]""","""<img src=""""images (515).jpg"""">""","""● an <font color=""""#0080bc"""">abundance of</font> wavy red hair<br>● One quality the team possessed <font color=""""#0080bc"""">in abundance</font> was fighting spirit.<br>● We were amazed by the <font color=""""#0080bc"""">sheer abundance of</font> food.<br>● The country <font color=""""#0080bc"""">has an abundance of</font> natural resources<br>● Exotic plants grew there <font color=""""#0080bc"""">in great abundance</font>.<br>● The tropical island boasts an <font color=""""#0080bc"""">abundance</font> of wildlife.<br>● The Bordeaux exhibition goes all out for an <font color=""""#0080bc"""">abundance of</font> images.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abundant,adj.,/əˈbʌndənt/,existing or available in large quantities.,فراوان,large amount,<font color=darkblue> &nbsp; affluent</font> /ˈæfluənt/<font color=darkblue> &nbsp; ample</font> <font color=darkblue> &nbsp; numerous</font> /ˈnuːmərəs/ <font color=darkblue> &nbsp; copious</font> <font color=darkblue> &nbsp; plentiful</font> <font color=darkblue> &nbsp; substantial</font><br> [sound:affluent.mp3][sound:ample.mp3][sound:copious_1342704248563.mp3][sound:plentiful.mp3][sound:substantial.mp3],"""<img src=""""abundant (1).jpg"""">""","""● an <font color=""""#0080bc"""">abundant supply</font> of fresh water<br>● <font color=""""#0080bc"""">abundant</font> opportunities for well-qualified staff<br>● There is <font color=""""#0080bc"""">abundant evidence</font> that cars have a harmful effect on the environment.<br>● there was <font color=""""#0080bc"""">abundant evidence</font> to support the theory.<br>● Nature gave these tiny creatures the ability to reproduce quickly when food is <font color=""""#0080bc"""">abundant</font>.<br>● Iron and coal are probably <font color=""""#0080bc"""">abundant</font>, and silver lead, copper and antimony are believed to exist.<br>● Valleys, nourished alike by endless sunshine and <font color=""""#0080bc"""">abundant</font> water.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abundantly,adv.,/əˈbʌndəntli/,in large quantities<br><b>abundantly clear:</b> very easy to understand,به وفور، به‌طور فراوان,plentifully, /ˈplentɪfəl/,"""<img src=""""paste-30820685316097.jpg"""">""","""● She’d <font color=""""#0080bc"""">made</font> her feelings towards him <font color=""""#0080bc"""">abundantly clear</font>.<br>● Melons grow <font color=""""#0080bc"""">abundantly</font> in this region.<br>● The plant grows <font color=""""#0080bc"""">abundantly</font> in the wild.<br>● They flower <font color=""""#0080bc"""">abundantly</font> and produce seeds.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accelerate,v.,/əkˈseləreɪt/,"if a process accelerates or if something accelerates it, it happens faster than usual or sooner than you expect",شتاب گرفتن,speed up,"""<font color=""""darkblue""""> &nbsp; get faster<br></font>[sound:get faster.mp3]""","""<img src=""""SDT_Blog_Graphic_NoTxt.jpg"""">""","""● measures to <font color=""""#0080bc"""">accelerate</font> the rate of economic growth<br>● The runners <font color=""""#0080bc"""">accelerated smoothly</font> round the bend.<br>● The car purred into life and <font color=""""#0080bc"""">accelerated away</font>.<br>● The car <font color=""""#0080bc"""">accelerated quickly / smoothly away</font>.<br>● The Ferrari can <font color=""""#0080bc"""">accelerate</font> from 0 to 60 mph in 6.3 seconds.<br>● Mr Henley has <font color=""""#0080bc"""">accelerated</font> his sale of shares over the past year.<br>● To <font color=""""#0080bc"""" style="""""""">accelerate</font> the proceedings of the committee it was decided to meet weekly instead of monthly.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access,v.,/ˈækses/,"to find information, especially on a computer",دست یافتن,reach &nbsp; entrance &nbsp; admission &nbsp; admittance &nbsp; approach &nbsp; entry,<br>[sound:reach.mp3],"""<img src=""""access-control-for-delaware-business.jpg"""">""","""● He <font color=""""#0080bc"""">gave</font> us <font color=""""#0080bc"""">access</font> to a web site on which to submit our information.<br>● Cats should always <font color=""""#0080bc"""">have access</font> to fresh, clean water.<br>● We’re trying to improve <font color=""""#0080bc"""">access</font> for disabled visitors.<br>● a villa with <font color=""""#0080bc"""">easy access</font> to the sea<br>● Users can <font color=""""#0080bc"""">access</font> their voice mail remotely.<br>● <font color=""""#0080bc"""">Access</font> is by means of a small door on the right.<br>● <font color=""""#0080bc"""">Access to</font> the restrooms is through the foyer.<br>● <font color=""""#0080bc"""">Access to</font> the papers is restricted to senior management.""",,<font color=red><b>● BAD:</b></font> Computers give us an easier access to information.<br><font color=teal><b>● GOOD:</b></font> Computers give us easier access to information.,,,,,,,,,,,,,,,,,,,,,,,,assess,v.,,ارزیابی کردن، تخمین زدن
accessible,adj.,/əkˈsesəbəl/,"a place, building, or object that is accessible is easy to reach or get into",دست یافتنی، در دسترس,reachable,"""/riːtʃəbəl/<font color=""""darkblue""""> &nbsp; easy to reach</font><br>[sound:easy to reach.mp3]""","""<img src=""""paste-16d7bf9daa030988ca55df129c761380c5dfa2fa.png"""">""","""● The town is <font color=""""#0080bc"""">accessible</font> by bus.<br>● The island is only <font color=""""#0080bc"""">accessible</font> by boat.<br>● There is a church which is easily <font color=""""#0080bc"""">accessible</font> from my home.<br>● In the following list only the most helpful and <font color=""""#0080bc"""" style="""""""">accessible</font><br>works can be enumerated.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accidental,adj.,/ˌæksəˈdentl/,"happening by chance, unintentionally, or unexpectedly.",تصادفی، غیر عمدی,unintentional &nbsp; casual &nbsp; chance &nbsp; fortuitous &nbsp; haphazard &nbsp; inadvertent &nbsp; incidental &nbsp; unexpected,<br>[sound:unintentional.mp3][sound:chance_1342704248563.mp3][sound:haphazard.mp3][sound:inadvertent.mp3],"""<img src=""""accidental (1).jpg"""">""","""● an <font color=""""#0080bc"""">accidental</font> discharge of toxic waste<br>● Buy an insurance policy that covers <font color=""""#0080bc"""">accidental damage</font>.<br>● The <font color=""""#0080bc"""">accidental</font> effects obtained by candid photographers were soon being copied by artists such as the French painter Degas.<br>● An <font color=""""#0080bc"""">accidental</font> circumstance, however, occurred at this moment which largely affected his future.<br>● I <font color=""""#0080bc"""">accidentally</font> locked myself out of the house.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acclaimed,adj.,/əˈkleɪmd/,publicly praised; celebrated.,تحسین شده,praised &nbsp; applauded &nbsp; approved &nbsp; celebrated &nbsp; commended, <br>,"""<img src=""""acclaime.jpg"""">""","""● The book has been <font color=""""#0080bc"""">widely / highly acclaimed</font> by teachers and pupils.<br>● His work was <font color=""""#0080bc"""">critically acclaimed</font> (=praised by people who are paid to give their opinion on art, music etc).<br>● His work was <font color=""""#0080bc"""">acclaimed</font> by art critics.<br>● Greenfeld is best known as a journalist, the author of five <font color=""""#0080bc"""">acclaimed</font> books of nonfiction.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accommodate,v.,/əˈkɑːmədeɪt/,fit in with the wishes or needs of,جا دادن - وفق دادن، تطبیق دادن، همساز کردن,- house &nbsp; entertain &nbsp; shelter<br>- provide sb with a place to stay<br>- adapt &nbsp; adjust &nbsp; comply &nbsp; conform,<br>,"""<img src=""""accommodate.jpg"""">""","""● He bought a huge house to <font color=""""#0080bc"""">accommodate</font> his library.<br>● The ballroom <font color=""""#0080bc"""">can easily accommodate</font> 400 people.<br>● It was a large hall, where a lot of people <font color=""""#0080bc"""">could</font> be <font color=""""#0080bc"""">comfortably accommodated</font>.<br>● The island was used to <font color=""""#0080bc"""">accommodate</font> child refugees.<br><br>● We have made every effort to <font color=""""#0080bc"""">accommodate</font> your point of view.<br>● Any language must <font color=""""#0080bc"""">accommodate</font> new concepts.<br><br>● Her eyes took a while to <font color=""""#0080bc"""">accommodate</font> to the darkness.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accomplished,adj.,/əˈkʌmplɪʃt/,highly trained or skilled.,کامل شده، ماهر شده,skilled &nbsp; expert &nbsp; gifted &nbsp; proficient &nbsp; talented,<br>[sound:skilled.mp3][sound:expert.mp3],"""<img src=""""images (1502).jpg"""">""","""● a <font color=""""#0080bc"""">highly accomplished</font> designer<br>● Sarah had become <font color=""""#0080bc"""">accomplished</font> at running the house.<br>● She's a very <font color=""""#0080bc"""">accomplished</font> pianist/ painter/ horsewoman.<br>● She was an elegant and <font color=""""#0080bc"""">accomplished</font> woman.<br>● He came to London in 1976, already <font color=""""#0080bc"""">accomplished</font> in the English language.<br>● His two daughters are both <font color=""""#0080bc"""">accomplished</font> athletes.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
account for,v.,/əˈkaʊnt_fɔːr/,to give a satisfactory explanation of why something has happened or why you did something,توضیح دادن، شرح دادن,explain,<font color=darkblue> &nbsp; answer for &nbsp; clarify &nbsp; clear up &nbsp; elucidate &nbsp; illuminate</font><br>[sound:clarify.mp3][sound:elucidate.mp3],"""<img src=""""paste-50891067490305.jpg"""">""","""● Can you <font color=""""#0080bc"""">account for</font> your movements on that night?<br>● Afro-Americans <font color=""""#0080bc"""">account for</font> 12% of the US population.<br>● Recent pressure at work may <font color=""""#0080bc"""">account for</font> his behavior.<br><br>● Of the various hypotheses attempting to <font color=""""#0080bc"""">account for</font> the late Cretaceous extinctions ...""",[sound:ankidroid_audioclip__TahlilGaran_TDictionary_account_for_t_98l66k508847630850002933443.mp3] [sound:ankidroid_audioclip__TahlilGaran_TDictionary_account_for_t_98l66k3j7964077233765668294.mp3],,,,,,,,,,,,,,,,,,,,,,,,,,,,
account,n.,/əˈkaʊnt/,a report or description of an event or experience.,شرح، گزارش,description &nbsp; explanation,<br>[sound:description.mp3][sound:explanation.mp3],"""<img src=""""paste-9eb53fd403cfafe65b001e05ef643426e77b522b.jpg"""">""","""● a detailed <font color=""""#0080bc"""">account of</font> what has been achieved.<br>● He was too shocked to give an <font color=""""#0080bc"""">account of</font> what had happened.<br>● a blow-by-blow <font color=""""#0080bc"""">account of</font> how England lost to Portugal.<br>● Chomsky’s <font color=""""#0080bc"""">account of</font> how children learn their first language<br>● <font color=""""#0080bc"""">Eye-witness accounts</font> told of the unprovoked shooting of civilians.<br>● This gives a <font color=""""#0080bc"""">first-hand account</font> of the war.""",,"""<font color=""""red"""">●&nbsp;<b>BAD:</b></font>&nbsp;We also have to take into account that the schools are overcrowded.<br><font color=""""teal"""">●&nbsp;<b>GOOD:</b></font>&nbsp;We also have to take into account the fact that the schools are overcrowded.<br><br>An <font color=""""sienna""""><i>account</i> </font>can be many things — such as a story, like if you give a friend an <font color=""""sienna""""><i>account</i> </font>of what happened at the party she missed. It can also be a business arrangement, like a bank <font color=""""sienna""""><i>account</i> </font>or an email <i><font color=""""sienna"""">account</font></i>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
accumulate,v.,/ əˈkjuːmjʊleɪt /,gather together or acquire an increasing number or quantity of.,اندوختن - جمع کردن - روی هم گذاشتن,collect,""" <font color=""""darkblue""""> &nbsp; pile up</font><font color=""""darkblue""""> &nbsp; build up</font><br>[sound:pile-up.mp3][sound:build-up.mp3]""","""<img src=""""accumulate (1).jpg"""">""","""● They were unable to <font color=""""#0080bc"""" style="""""""">accumulate</font> enough<br>evidence to make a well-written claim.<br>● It is unjust that a privileged few should continue to <font color=""""#0080bc"""">accumulate</font> wealth.<br>● Fat tends to <font color=""""#0080bc"""">accumulate</font> around the hips and thighs.<br>● Toxic chemicals tend to <font color=""""#0080bc"""">accumulate</font> in the body.<br>● <font color=""""#0080bc"""">Accumulating</font> the calcium in a hard shell then made it possible for the egg to be laid on land<br>● the <font color=""""#0080bc"""">accumulation</font> of data""",,"""In everyday English, people usually say&nbsp;<b>build up</b>&nbsp;rather than&nbsp;<b>accumulate</b>:<br><font color=""""darkblue"""">● <em>These chemicals tend to&nbsp;<b>build up</b>&nbsp;in the soil.</em></font>""",,,,,,,,,,,,,,,,,,,,,,,,,,,
accurate,adj.,/ˈakjʊrət/,"(of information, measurements, statistics, etc.) correct in all details; exact.",دقیق، صحیح,correct,"""/kəˈrɛkt/<font color=""""darkblue""""> &nbsp; precise</font> /prɪˈsʌɪs/<font color=""""darkblue""""> &nbsp; exact</font> /ɪɡˈzækt/<br>[sound:precise.mp3][sound:exact.mp3]""","""<img src=""""accurate (2).jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● The brochure tries to give a fair and <font color=""""#0080bc"""">accurate</font> description of each hotel.<br><font color=""""red""""><b>fairly/reasonably accurate</b></font><br>● Police believe Derek gave a <font color=""""#0080bc"""">reasonably accurate</font> account of what happened.<br><font color=""""red""""><b>not strictly/entirely/completely accurate</b></font><br>● The evidence she gave to the court was not <font color=""""#0080bc"""">strictly accurate</font> (=not exactly accurate).<br>● <font color=""""#0080bc"""">accurate</font> information about the illness is essential.<br>● It is difficult to get <font color=""""#0080bc"""">accurate</font> figures on population numbers.<br>● The cutter is <font color=""""#0080bc"""">accurate</font> to within ½ a millimetre.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accurately,adv.,/ˈakjərətli/,correctly,به درستی، به دقت,correctly,/kəˈrektli/,"""<img src=""""accurate (2).jpg"""">""","""● we are simply unable to predict long-term trends <font color=""""#0080bc"""">accurately</font>.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acknowledge,v.,/əkˈnɑːlɪdʒ/,(of a body of opinion) recognize the fact or importance or quality of.,شناختن - اعتراف کردن، تایید کردن,admit &nbsp; recognize,<br>[sound:admit.mp3][sound:recognize.mp3],"""<img src=""""acknowledge (2).jpg"""">""","""● The family <font color=""""#0080bc"""">acknowledge</font> the need for change.<br><font color=""""red"""">acknowledge that</font><br>● He <font color=""""#0080bc"""">acknowledges that</font> when he’s tired he gets bad-tempered.<br>● Claire <font color=""""#0080bc"""">acknowledged that</font> she was guilty.<br>● The government must <font color=""""#0080bc"""">acknowledge</font> what is happening and do something about it.<br>● ‘Maybe you are right,’ she <font color=""""#0080bc"""">acknowledged</font>.<br>● This is a fact that most smokers readily <font color=""""#0080bc"""">acknowledge</font>.<br>● the art world has begun to <font color=""""#0080bc"""">acknowledge</font> his genius.<br><br><font color=""""red"""">acknowledge sth as sth</font><br>● The film festival is <font color=""""#0080bc"""">acknowledged</font> as an event of international importance.<br><font color=""""red"""">be widely/generally (verb)ed to be sth</font><br>● The mill produces what is widely <font color=""""#0080bc"""">acknowledged</font> to be the finest wool in the world.<br><br>● Both defendants refused to <font color=""""#0080bc"""">acknowledge</font> the authority of the court.<br><font color=""""red"""">acknowledge sb as sth</font><br>● Many of the poor <font color=""""#0080bc"""">acknowledged</font> him as their spiritual leader.<br><br>● We wish to <font color=""""#0080bc"""">acknowledge</font> the support of the university.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actually,adv.,/ˈaktʃʊəli/,as the truth or facts of a situation; really,در واقع,in fact,"""<font color=""""darkblue""""> &nbsp; truly</font> /ˈtruːli/ <br>[sound:truly.mp3]""","""<img src=""""paste-8486398be6b6f40bf6a7468a29a99f4c2b61fdaf.jpg"""">""","""● we must pay attention to what young people are <font color=""""#0080bc"""">actually</font> doing.<br>● Had anyone <font color=""""#0080bc"""" style="""""""">actually</font> told her that or had she merely assumed it?<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
added,adj.,/aded/,"join (something) to something else so as to increase the size, number, or amount.",<div><div>اضافه</div></div>,extra,/ˈɛkstrə/,"""<img src=""""paste-322adb5f211f29d610c8f0c34e55f1312378df6b.jpg"""">""","""● She lost her job last week, and now <font color=""""#0080bc"""" style="""""""">added</font> to that she's pregnant again.<br>● a new wing was <font color=""""#0080bc"""">added</font> to the building.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adept,adj.,/ˈædept/,good at something that needs care and skill,ماهر، زبردست,skilled,"""/skɪld/<font color=""""darkblue""""> &nbsp; skillful</font> /ˈskɪlfəl/ <br>[sound:skillful.mp3]""","""<img src=""""adept (2).jpg"""">""","""● he is <font color=""""#0080bc"""">adept</font> at cutting through red tape.<br>● Melissa quickly became <font color=""""#0080bc"""">adept</font> at predicting his moods.<br>● I’m afraid she’s also an <font color=""""#0080bc"""">adept</font> liar.<br>● It's fine! Answered Sidorov, who was considered an <font color=""""#0080bc"""">adept</font> at French.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adequately,adv.,/ˈædɪkwətli/,to a satisfactory or acceptable extent.,به اندازه کافی,sufficiently, /səˈfɪʃəntli/,"""<img src=""""adequately (1).jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● the resources required to prepare <font color=""""#0080bc"""">adequately</font> will be extensive.<br>● Selection and its results can be <font color=""""#0080bc"""">adequately</font> studied only in those cases which admit of statistical tabulation.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
