Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio,Short Meaning,Long Meaning,Web World,Found
4000EEW_B01_U01_0011,enjoy,,[indʒɔ́i],v.,To <i>enjoy</i> is to like something.,The woman <b>enjoys</b> riding her bicycle.,The woman {{c1::enjoys}} riding her bicycle.,"""<img src=""""4000EEW_B01_U01_0011.jpg"""" />""",[sound:4000EEW_B01_U01_0011.word.mp3],[sound:4000EEW_B01_U01_0011.definition.mp3],[sound:4000EEW_B01_U01_0011.example.mp3],"To enjoy something is to take delight or pleasure in something: to have fun doing it. Whatever you like or love, you enjoy.","Saying you enjoy something is a major compliment: it means you like it, and it makes you happy. Some people enjoy sports; others enjoy music. TV, movies, books, video games, sunny days, pets, and exercise are enjoyed by many people. Different people enjoy different things. We can also talk about enjoying as a type of advantage. A tall boxer enjoys an advantage because he has a longer reach than a short boxer.",enjoy,True
4000EEW_B01_U01_0012,invite,,[inváit],v.,To <i>invite</i> is to ask someone to come to a place or event.,I will <b>invite</b> my friends to my birthday party.,I will {{c1::invite}} my friends to my birthday party.,"""<img src=""""4000EEW_B01_U01_0012.jpg"""" />""",[sound:4000EEW_B01_U01_0012.word.mp3],[sound:4000EEW_B01_U01_0012.definition.mp3],[sound:4000EEW_B01_U01_0012.example.mp3],"When you invite a friend to do something, you request her company, or encourage her to come with you. You might invite a group of neighbors to help you throw a block party.","You could invite your friend to join you on a road trip, or invite your parents to your art show at a local gallery. You're making a polite request. Similarly, a newspaper might invite readers' comments, or a school might invite ideas for how to spend grant money. Invite is also casual shorthand for ""invitation."" When you tempt someone to react, you also invite that reaction: ""Your strange film really invites harsh criticism.""",invite,True
4000EEW_B01_U01_0013,love,,[lʌv],v.,To <i>love</i> is to like something or someone a lot.,I <b>love</b> my family very much.,I {{c1::love}} my family very much.,"""<img src=""""4000EEW_B01_U01_0013.jpg"""" />""",[sound:4000EEW_B01_U01_0013.word.mp3],[sound:4000EEW_B01_U01_0013.definition.mp3],[sound:4000EEW_B01_U01_0013.example.mp3],"How can we love our partners, our parents, sunsets at the beach, cats, and Fridays? The types of love listed here mean different things — but what remains is the certainty, at least for now, that what you love is what you adore.","Love is an expression of emotion. Love, it is said, can make you walk miles barefoot in the rain just to see the person you can't stop thinking about. Or, it can make you cross the street because the store ""you love"" is located there. Love is a versatile word — like what it describes. Love takes many forms, but the word typically describes an affection that is deep and emotional. If you say you’re “in love,” that tends to refer to the romantic kind of love.",love,True
4000EEW_B01_U01_0014,month,,[mʌnθ],n.,A <i>month</i> is one of 12 periods of time in one year.,January is the first <b>month</b> of the year.,January is the first {{c1::month}} of the year.,"""<img src=""""4000EEW_B01_U01_0014.jpg"""" />""",[sound:4000EEW_B01_U01_0014.word.mp3],[sound:4000EEW_B01_U01_0014.definition.mp3],[sound:4000EEW_B01_U01_0014.example.mp3],"A year is divided into twelve months, starting with January and ending with December. If it takes you a month to read a book, it takes approximately thirty days.","A month is a unit of time that corresponds to the phases of the moon — which is the reason the word month, which comes from the Proto-Germanic menoth, is closely related to the word moon, whose root is menon. People have kept track of days this way since Paleolithic times, and even those who don't use the Gregorian, twelve-month calendar, still divide a year into months based on the moon.",month,True
4000EEW_B01_U01_0015,travel,,[trǽvəl],v.,To <i>travel</i> is to go to a faraway place on vacation or business.,They will <b>travel</b> to Argentina this summer.,They will {{c1::travel}} to Argentina this summer.,"""<img src=""""4000EEW_B01_U01_0015.jpg"""" />""",[sound:4000EEW_B01_U01_0015.word.mp3],[sound:4000EEW_B01_U01_0015.definition.mp3],[sound:4000EEW_B01_U01_0015.example.mp3],"To travel is the act of going from one place to another, usually a considerable distance. Your daily commute in the morning doesn't generally count as travel. Your trip to Timbuktu? That counts.","Travel can also be used as a noun — as in your travels to Timbuktu. Or perhaps you prefer time travel or space travel. Objects that are especially adapted for use when you travel are often modified by the word travel; for example, a ""travel-bag,"" ""travel- games,"" or a ""travel iron."" And if something is particularly popular in another country or culture from its place of origin, say a cheese, a wine, or a type of music, it's said to ""travel well.""",travel,True
4000EEW_B01_U01_0016,typical,,[típikəl],adj.,"If something is <i>typical</i>, it is normal, or something that usually happens.",My <b>typical</b> breakfast is toast and eggs.,My {{c1::typical}} breakfast is toast and eggs.,"""<img src=""""4000EEW_B01_U01_0016.jpg"""" />""",[sound:4000EEW_B01_U01_0016.word.mp3],[sound:4000EEW_B01_U01_0016.definition.mp3],[sound:4000EEW_B01_U01_0016.example.mp3],"When something is typical, it is common, regular, expected — hanging out with friends and playing computer games are typical activities of American teens.","To be typical is to be of a type, meaning that a person or thing has the same characteristics of everyone or everything else in the group, like a typical student, trying to talk the teacher out of giving homework over break. Something that is typical is what you can expect, like reading a guidebook about a faraway country you will visit to learn the typical weather and kinds of food you will encounter while you are there.",typical,True
4000EEW_B01_U01_0017,visit,,[vízit],v.,To <i>visit</i> is to go and spend time in another place or see another person.,She wants to <b>visit</b> her grandmother.,She wants to {{c1::visit}} her grandmother.,"""<img src=""""4000EEW_B01_U01_0017.jpg"""" />""",[sound:4000EEW_B01_U01_0017.word.mp3],[sound:4000EEW_B01_U01_0017.definition.mp3],[sound:4000EEW_B01_U01_0017.example.mp3],"When you travel to another place, or spend some time at a friend's house, it's a visit. You should visit your grandmother! It's been a while since she's had a visit from you.","Whenever you spend a temporary amount of time with another person or in another place, that's a visit — whether it's your visit to San Francisco or your visit to the doctor for a checkup. In some parts of the U.S., visit is also a name for a chat: ""I had a nice visit with your Aunt Sylvia yesterday."" And if you pay a visit to someone, you go see them for a while.",visit,True
4000EEW_B01_U01_0018,weather,,[weðər],n.,<i>Weather</i> is the temperature and the state of the outdoors.,Today’s <b>weather</b> is rainy and cloudy.,Today’s {{c1::weather}} is rainy and cloudy.,"""<img src=""""4000EEW_B01_U01_0018.jpg"""" />""",[sound:4000EEW_B01_U01_0018.word.mp3],[sound:4000EEW_B01_U01_0018.definition.mp3],[sound:4000EEW_B01_U01_0018.example.mp3],"Weather is the atmospheric conditions, including the temperature, wind, snow, rain, or anything else happening outside. People tend to talk about the weather when they can't think of anything else to talk about.","In some places, people say, ""Don't like the weather? Wait an hour and it'll change."" Every day, experts try to predict the weather, but they never get it exactly right. You can also use weather to mean ""endure something,"" as in ""I weathered the storm at work."" That's not a real storm, but a stormy situation. Even though the weather drives us all crazy at times, at least it gives us something to blab about.",weather,True
4000EEW_B01_U01_0019,week,,[wiːk],n.,A <i>week</i> is a period of time that is seven days long.,What are you doing next <b>week</b>?,What are you doing next {{c1::week}}?,"""<img src=""""4000EEW_B01_U01_0019.jpg"""" />""",[sound:4000EEW_B01_U01_0019.word.mp3],[sound:4000EEW_B01_U01_0019.definition.mp3],[sound:4000EEW_B01_U01_0019.example.mp3],"Seven days make up one week, and there are 52 weeks in a year. If you won't see your friend again until next Thursday, you can say, ""See you next week!""","Before the adoption of the Roman calendar, a week was more of a vague kind of change or succession, like the turning of a full moon to a half moon, for example. The modern week is strictly calendar-related, and seven days long, unless you're talking about a ""work week"" or a ""school week,"" as in ""I have Friday off, so my school week ends tomorrow!""",week,True
4000EEW_B01_U01_0020,wine,,[wain],n.,<i>Wine</i> is an alcoholic drink made from grapes.,The store carried both red and white <b>wine</b>.,The store carried both red and white {{c1::wine}}.,"""<img src=""""4000EEW_B01_U01_0020.jpg"""" />""",[sound:4000EEW_B01_U01_0020.word.mp3],[sound:4000EEW_B01_U01_0020.definition.mp3],[sound:4000EEW_B01_U01_0020.example.mp3],,,wine,True
4000EEW_B01_U02_0021,adventure,,[ədvéntʃər],n.,An <i>adventure</i> is a fun or exciting thing that you do.,Riding in the rough water was an <b>adventure</b>.,Riding in the rough water was an {{c1::adventure}}.,"""<img src=""""4000EEW_B01_U02_0021.jpg"""">""",[sound:4000EEW_B01_U02_0021.word.mp3],[sound:4000EEW_B01_U02_0021.definition.mp3],[sound:4000EEW_B01_U02_0021.example.mp3],"An adventure is an exciting and probably risky trip, effort, or undertaking. Let's go explore the jungle! Don't be scared — it'll be an adventure!","To a kid from the city, a ride on the subway is just another trip across town. To a kid from the suburbs, though, it can be a real adventure — a trip to a strange place with all sorts of strange people, new sights, and surprising twists and turns. If you've ever been to the Great Adventure amusement park, you know that the whole place is designed to make you feel as though you're on a wild, exciting, and thrilling trip — a great adventure. People often go on an adventure hoping something wonderful will come of it.",adventure,True
4000EEW_B01_U02_0022,approach,,[əpróutʃ],v.,To <i>approach</i> something means to move close to it.,The boy <b>approached</b> his school.,The boy {{c1::approached}} his school.,"""<img src=""""4000EEW_B01_U02_0022.jpg"""" />""",[sound:4000EEW_B01_U02_0022.word.mp3],[sound:4000EEW_B01_U02_0022.definition.mp3],[sound:4000EEW_B01_U02_0022.example.mp3],To approach is to get near something. An airplane is cleared for a final approach just as the wheels approach the landing strip.,"Approach comes from the Latin word appropriare which means ""go nearer to."" You can physically approach something, like a waiter going to a table. Or, you can approach a subject, usually one you're a little nervous about — like a new employee might approach her boss about getting a raise. Time can also approach, like winter, midnight, or even old age.",approach,True
4000EEW_B01_U02_0023,carefully,,[kɛ́ərfəli],adv.,"<i>Carefully</i> means with great attention, especially to detail or safety.",The baby <b>carefully</b> climbed down the stairs.,The baby {{c1::carefully}} climbed down the stairs.,"""<img src=""""4000EEW_B01_U02_0023.jpg"""" />""",[sound:4000EEW_B01_U02_0023.word.mp3],[sound:4000EEW_B01_U02_0023.definition.mp3],[sound:4000EEW_B01_U02_0023.example.mp3],"Carefully means cautiously or painstakingly. If you carefully study your vocabulary words, you'll ace your next quiz!","This adverb comes from the Old English carfullice — but before coming to mean ""in a way that avoids harm,"" it meant ""sorrowfully."" In fact, the very oldest meaning of care was ""to be anxious or to grieve."" These days, you don't cry when you do something carefully. You just take your time and make sure you're doing it right and that no one's being harmed by it, like when you check carefully behind your car for the neighbor's cat before you back out of the driveway.",carefully,True
4000EEW_B01_U02_0024,chemical,,[kémikəl],n.,A <i>chemical</i> is something that scientists use in chemistry.,The scientist mixed the <b>chemicals</b>.,The scientist mixed the {{c1::chemicals}}.,"""<img src=""""4000EEW_B01_U02_0024.jpg"""">""",[sound:4000EEW_B01_U02_0024.word.mp3],[sound:4000EEW_B01_U02_0024.definition.mp3],[sound:4000EEW_B01_U02_0024.example.mp3],A chemical is any mix of raw elements: hydrogen + oxygen produce the chemical water. Water is created by a change in the chemistry of hydrogen and oxygen atoms — a chemical change.,"Be cautious of the negative reaction people have to chemical substances. Chemicals often bring to mind deadly substances, such as asbestos or deadly chemical weapons. But many chemicals are part of our everyday life. Our lives would be drastically different without chemical compounds — think of the infection that would result if we didn't have the chemical hydrogen peroxide for cleaning out cuts.",chemical,True
4000EEW_B01_U02_0025,create,,[kriéit],v.,To <i>create</i> means to make something new.,She <b>created</b> an igloo from blocks of snow.,She {{c1::created}} an igloo from blocks of snow.,"""<img src=""""4000EEW_B01_U02_0025.jpg"""">""",[sound:4000EEW_B01_U02_0025.word.mp3],[sound:4000EEW_B01_U02_0025.definition.mp3],[sound:4000EEW_B01_U02_0025.example.mp3],"To create simply means to make or bring into existence. Bakers create cakes, ants create problems at picnics, and you probably created a few imaginary friends when you were little.","Similar to conceive and spawn and the exact opposite of destroy, create is a word that often implies a little bit of imagination. In fact, it takes a lot of creativity to create something spectacular; that is, unless you're a robot, and then your creations occur automatically. Or Mother Nature, where creation just happens naturally: Birds create nests, the tides create waves, and snowstorms create days off from school.",create,True
4000EEW_B01_U02_0026,evil,,[íːvəl],adj.,"<i>Evil</i> describes something or someone bad or cruel, not good.","They felt a strange, <b>evil</b> presence as they got closer to the house.","They felt a strange, {{c1::evil}} presence as they got closer to the house.","""<img src=""""4000EEW_B01_U02_0026.jpg"""" />""",[sound:4000EEW_B01_U02_0026.word.mp3],[sound:4000EEW_B01_U02_0026.definition.mp3],[sound:4000EEW_B01_U02_0026.example.mp3],"Evil is the opposite of good. We usually think of villains as evil — wrong, immoral and nasty on many levels — and heroes as good.","This word is often reserved for our most terrible crimes and criminals: Adolf Hitler is usually the face of evil in history, while Voldemort is that face in recent literature. Evil can be less extreme, meaning simply anything that brings harm; we can talk about the evils of alcohol or the evils of power. When both major candidates for President seem lame, people often say they're choosing between the lesser of two evils. Not all evils are equally evil.",evil,True
4000EEW_B01_U02_0027,experiment,,[ikspérəmənt],n.,An <i>experiment</i> is a test that you do to see what will happen.,The student did an <b>experiment</b> in science class.,The student did an {{c1::experiment}} in science class.,"""<img src=""""4000EEW_B01_U02_0027.jpg"""" />""",[sound:4000EEW_B01_U02_0027.word.mp3],[sound:4000EEW_B01_U02_0027.definition.mp3],[sound:4000EEW_B01_U02_0027.example.mp3],"If you see your science-loving neighbor headed home with a power cord, a handful of test tubes, a stopwatch, and a bag of potatoes, there’s probably no need to be alarmed. There’s a good chance he’s only conducting an experiment, a scientific test conducted under controlled conditions.","To refer to a scientific test, use the noun experiment. If you want to describe the work done in conducting such a test, experiment will do the trick as well, since it can also act as a verb, as in ""scientists experiment with helium."" You can also use it more generally to describe trying a new method or idea. For example, you could experiment with a new hairstyle or different routes to get to school or work.",experiment,True
4000EEW_B01_U02_0028,kill,"""<b>kill two birds with one stone<br>kill the clock</b> (<span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">if a sports team tries to&nbsp;</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">run </span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">kill the clock</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">&nbsp;at the end of a game, it stops trying to score and just tries to keep hold of the ball to stop the other team from scoring)<br></span><b>kill time,&nbsp;kill an hour, a couple of hours, etc.</b> (<span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"""">to spend time doing something that is not important while you are waiting for something else to happen [</span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><span style=""""font-style: italic; font-weight: inherit;""""><span style=""""font-weight: inherit;"""">We killed time playing cards.])<br></span></span></span><b>have time to kill&nbsp;</b>""",[kil],v.,To <i>kill</i> someone or something is to make them die.,I <b>killed</b> the fly.,I {{c1::killed}} the fly.,"""<img src=""""4000EEW_B01_U02_0028.jpg"""">`""",[sound:4000EEW_B01_U02_0028.word.mp3],[sound:4000EEW_B01_U02_0028.definition.mp3],[sound:4000EEW_B01_U02_0028.example.mp3],"To kill is to end the life of some living being or something else. So, you could kill a deer by shooting it with a hunting rifle or kill a bill by voting against it.","Hunters kill animals for their meat, and drivers sometimes kill an animal accidentally, or inadvertently kill a plant, simply by forgetting to water it. Certain inanimate things are also said to kill, like poison or disease or drunk driving. In each of these cases, death is caused and life is taken. You can also kill figuratively, as when a school board kills the foreign language program or a thunderstorm kills your hopes of a picnic.",kill,True
4000EEW_B01_U02_0029,laboratory,in a/the laboratory<br>,[lǽbərətɔ̀ːri],n.,A <i>laboratory</i> is a room where a scientist works.,My mother works in a <b>laboratory</b>.,My mother works in a {{c1::laboratory}}.,"""<img src=""""4000EEW_B01_U02_0029.jpg"""">""",[sound:4000EEW_B01_U02_0029.word.mp3],[sound:4000EEW_B01_U02_0029.definition.mp3],[sound:4000EEW_B01_U02_0029.example.mp3],"A laboratory is a place where experiments happen, usually scientific experiments involving chemicals and lab coats, but there are creative and athletic laboratories too, where people experiment with writing and footballs.","When you think of a laboratory, you might see men and women wearing face masks pouring colorful liquids into test tubes, and you’d be correct.  Any place that is a testing ground for new ideas is a laboratory, like a class full of people thinking up new ways to make paper airplanes.  The Latin verb laborare means “to labor,” so remember that a laboratory is a place of hard work: you can’t spell laboratory without labor in it.",laboratory,True
