"Word","Soundmark","Explanation0","Example0","Equivalence0","Derivative0","Opposite0","Explanation1","Example1","Equivalence1","Derivative1","Opposite1","Explanation2","Example2","Equivalence2","Derivative2","Opposite2","Explanation3","Example3","Equivalence3","Derivative3","Opposite3","Category","Image","Audio","tags","deck"
"perfunctory","[pərˈfʌŋktəri]","【释】adj. 敷衍的，草率的 acting with indifference, showing little interest or care","【例】Manuel was so solitary and aloof that he would gladly spend months with just perfunctory contact with other people.","【选】cursory, casual",,,,,,,,,,,,,,,,,,,,"[sound:youdao-b2d07ab4-7a459a73-81cd6d59-c45a90c3-6aa3cb23.mp3]",,"GRE::新东方GRE佛脚词改"
"compound","[ˈkɑːmpaʊnd]","【释】v. 混合，合成 to form by combining separate things","【例】Many words in Creole languages are formed by compounding different parts of words from various native dialects.",,,,"【释】v. 使…变糟糕 to make worse","【例】The instability of the regime, compounded by global economic woes, unfortunately led to a national debacle.",,,,,,,,,,,,,,,,"[sound:youdao-2946685c-8778dbef-9465c103-e4a4550b-cac0d59f.mp3]",,"GRE::新东方GRE佛脚词改"
"envy","[ˈenvi]","【释】v. 嫉妒 to feel a desire to have what someone else has","【例】The girl envied her best friend for having received the most expensive Barbie doll for Christmas.","【选】covet","【派】enviable（adj. 令人嫉妒的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-46e21f84-0852cbb7-78b3a14d-1dcbbb58-5077ceb5.mp3]",,"GRE::新东方GRE佛脚词改"
"defensive","[dɪˈfensɪv]","【释】adj. 被动防守的， 防御的 in a situation which you are forced to defend or protect someone or something","【例】Xin grew very defensive of her younger brother and vehemently maintained his innocence when the crowd started accusing him of being a thief.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-7d4f1532-26dd74cf-d8167565-cac63e66-713a3447.mp3]",,"GRE::新东方GRE佛脚词改"
"unbounded","[ʌnˈbaʊndɪd]","【释】adj. 不受限制的，无限的 not limited in any way","【例】Many parents are reluctant to expose their children to the internet too early as they fear that the unbounded space of online culture would lead them astray.","【选】immoderate, expansive",,,,,,,,,,,,,,,,,,,,"[sound:youdao-4bc09b7a-7dcc5837-0fb94195-6d757e90-ae3d2d7b.mp3]",,"GRE::新东方GRE佛脚词改"
"specious","[ˈspiːʃəs]","【释】adj. 似是而非的，假的 falsely appearing to be right","【例】The senator's claim that he is not interested in running for a second term is specious given the extremely visible fund-raising activities of his campaign committee.","【选】artificial, forged, fabricated, spurious",,"【反】valid, veritable, impeccable",,,,,,,,,,,,,,,,,,"[sound:youdao-1644ebc3-01c6e79d-29a98e82-a121873e-1ac1fc8d.mp3]",,"GRE::新东方GRE佛脚词改"
"aimless","[ˈeɪmləs]","【释】adj. 漫无目的的 not having a goal or purpose","【例】The college sophomore sampled different courses and activities in an aimless fashion as he had not decided on his future career path.","【选】discursive",,,,,,,,,,,,,,,,,,,,"[sound:youdao-2ab5c602-1b0a7b1d-d99d1bfb-a3461363-3d3fe605.mp3]",,"GRE::新东方GRE佛脚词改"
"ingenuous","[ɪnˈdʒenjuəs]","【释】adj. 纯朴的，真诚的 having or showing the innocence, trust, and honesty characteristic of young people","【例】She was too ingenuous to have wholeheartedly believed every single word that the salesman said in his sales pitch.","【选】simple",,"【反】guileful",,,,,,,,,,,,,,,,,,"[sound:youdao-732c0caa-3fe42f27-034bbd17-0a752810-718dc130.mp3]",,"GRE::新东方GRE佛脚词改"
"intrinsic","[ɪnˈtrɪnsɪk]","【释】adj. 固有的，本质的，内在的 belonging to the essential nature of a thing","【例】Some people argue that greed is such an intrinsic part of being human that it is the basis of all evil acts and can never be eradicated from any society.","【选】inherent",,,,,,,,,,,,,,,,,,,,"[sound:youdao-9c1d13d7-4c48856b-9e38d904-06503f4c-d8fe7e01.mp3]",,"GRE::新东方GRE佛脚词改"
"inevitable","[ɪnˈevɪtəbl]","【释】adj. 不可避免的，必然的 sure to happen","【例】When a witness describes a crime scene, it is inevitable that some details will be forgotten or misremembered.","【选】unavoidable, preordained, ineluctable",,,,,,,,,,,,,,,,,,,,"[sound:youdao-df19cf00-62248e5b-b66a1a41-ca8fde13-a9efc3f0.mp3]",,"GRE::新东方GRE佛脚词改"
"intransigent","[ɪnˈtrænzɪdʒənt]","【释】adj. 不妥协的，固执的 completely unwilling to change","【例】The company was so intransigent with its “no social media” policy that it gradually lost its competitive edge in the market and was trampled over by the new startups.","【选】resolute, obduracy",,,,,,,,,,,,,,,,,,,,"[sound:youdao-5677bbc8-de739b03-989d4e37-6a4cf162-00bfc4a3.mp3]",,"GRE::新东方GRE佛脚词改"
"detached","[dɪˈtætʃt]","【释】adj. 不受感情影响的，公正的 not influenced by emotions or personal interest","【例】Unlike coworkers who delighted in office gossip, Felicia remained detached and appeared completely indifferent to these matters.",,,,"【释】adj. 脱离的 not joined or connected","【例】Some of the housemates ended up burning themselves while cooking as the skillet had long been detached from its handle but no one had bothered informing the housekeeper.",,,,,,,,,,,,,,,"<img src=""oxfordlearning-308eb65c-00e817f1-8179a6a1-90d73812-757978e0.jpg"">","[sound:youdao-edd9dcae-c330b1e0-8070f899-a8fc51e5-b6fd10ed.mp3]",,"GRE::新东方GRE佛脚词改"
"inveterate","[ɪnˈvetərət]","【释】adj. 根深蒂固的 firmly and long established; deep-rooted","【例】Kenji was an inveterate procrastinator who put off doing his work until the last minute for nearly every task.",,,"【反】casual","【释】adj. 习惯性的 persisting in an ingrained habit; habitual","【例】The stray cat became an inveterate beggar in the restaurant and could be seen pestering customers for food every night.",,,,,,,,,,,,,,,,"[sound:youdao-0ba72abb-bf92b3ab-9766e0f5-596d3705-810d2a3a.mp3]",,"GRE::新东方GRE佛脚词改"
"backhanded","[ˌbækˈhændɪd]","【释】adj. 不直接的 oblique or indirect","【例】Even though Agee's letters seemed harsh and critical, they actually provided backhanded encouragement to the young writer.",,,,"【释】adj. 含沙射影的，讽刺挖苦的 having derogatory or insulting impli-cations","【例】Although the woman thought she was praising the man's weight loss, he interpreted her comments as a backhanded compliment and stormed off.",,,,,,,,,,,,,,,,"[sound:youdao-c13d4b2f-05d7122a-cb3f733e-33fba443-886bd358.mp3]",,"GRE::新东方GRE佛脚词改"
"affable","[ˈæfəbl]","【释】adj. 和蔼可亲的 easy and pleasant to speak to","【例】Jaelyn and Sean are temperamental opposites as Jaelyn is outgoing and affable, while Sean is reserved and aloof.","【选】easygoing, cordial, genteel",,"【反】irascible",,,,,,,,,,,,,,,,,,"[sound:youdao-d924f5d4-68524eb3-dc44bcac-fa6da23c-f51e8b8a.mp3]",,"GRE::新东方GRE佛脚词改"
"whimsy","[ˈwɪmzi]","【释】n. 突发奇想 an unusual, unexpected, or fanciful idea","【例】Her paintings of bullfights are so successful as they convey both a sense of whimsy and a deep respect for the long-held tradition.","【选】capriciousness","【派】whimsical（adj. 突发奇想的，多变的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-87660835-1b0b9403-73217837-507199ff-33b780bf.mp3]",,"GRE::新东方GRE佛脚词改"
"tenacious","[təˈneɪʃəs]","【释】adj. 坚定的 very determined to do something","【例】His peers respected him as a tenacious and diplomatic man who could remain steadfast in his beliefs yet tactful in his negotiations.","【选】resolve, endurance","【派】tenacity（n. 坚定）",,"【释】adj. 持续的 continuing for a long time","【例】Evolution is a tenacious process that began with appearance of life on Earth.",,,,,,,,,,,,,,,,"[sound:youdao-a2ed546d-7504eb51-2248adac-d58ca719-eaac9205.mp3]",,"GRE::新东方GRE佛脚词改"
"sardonic","[sɑːrˈdɑːnɪk]","【释】adj. 嘲讽的，讥笑的 scornfully or cynically mocking","【例】The comedian's sardonic wit is hilarious as long as one is not the object of his rant.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-b3362468-50f89621-273ea0d7-dd3b3da6-e1263620.mp3]",,"GRE::新东方GRE佛脚词改"
"skullduggery","[skʌlˈdʌɡəri]","【释】n. 欺骗，作假 secret or dishonest behavior or activity","【例】For all its corporate skullduggery, it's hard to deny that Uber has some clever promotions at times.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-595dc28c-7556bd27-8ef4691b-b504e5e0-49172b5b.mp3]",,"GRE::新东方GRE佛脚词改"
"legitimate","[lɪˈdʒɪtɪmət]","【释】adj. 合法的 being in compliance with the law","【例】The birth of his only son by his wife left King Henry with a legitimate heir.",,,,"【释】adj. 合理的 valid or justifiable","【例】African Americans' discontent during the civil rights movement was legitimate because they suffered from a lack of freedom and equality.",,,,"【释】v. 使…合理，合法 to make (something) real, accepted, or official or to show that (something) is fair or reasonable","【例】A scientist should not automatically reject folkways that might at first seem silly or superstitious; scientific qualifications are not a license for smugness nor do they legitimate prejudice or bias.",,,,,,,,,,,"[sound:youdao-f2695cc3-277f2da6-e22beaf0-4cba98e0-fdf201e4.mp3]",,"GRE::新东方GRE佛脚词改"
"plagiarize","[ˈpleɪdʒəraɪz]","【释】v. 抄袭 to reproduce or otherwise illegitimately use as one's own","【例】Despite accusations to the contrary, it is unlikely that he intended to plagiarize the articles since he had cited them in his bibliography.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-b8532e99-48a2e36b-df57d0bd-444b3936-f150d218.mp3]",,"GRE::新东方GRE佛脚词改"
"disavow","[ˌdɪsəˈvaʊ]","【释】v. 否认 to say that one is not responsible for or does not support something","【例】It is common for politicians to disavow their earlier promises to suit the current political atmosphere in the country.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-295cd919-ac5d3898-7a74b946-fc9f31f6-0ec844d5.mp3]",,"GRE::新东方GRE佛脚词改"
"deplete","[dɪˈpliːt]","【释】v. 耗尽 to use most or all of","【例】The battery life on the new phone is excellent and is never depleted even after a full day's use.",,"【派】depletion（n. 耗尽）",,,,,,,,,,,,,,,,,,,"[sound:youdao-ee60602e-512da7d6-ecaf857f-a9a45a0f-df969137.mp3]",,"GRE::新东方GRE佛脚词改"
"ridicule","[ˈrɪdɪkjuːl]","【释】v. 嘲笑，耻笑 to laugh at and make jokes about","【例】The unusual designs of John Harrison were always ridiculed by his peers until they were finally recognized as some of the best in the history of clock making.","【选】deride","【派】ridiculous（adj. 荒谬的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-4080ed77-e2b2cdbf-3b25d13f-7a63ee40-9959bb3d.mp3]",,"GRE::新东方GRE佛脚词改"
"undermine","[ˌʌndərˈmaɪn]","【释】v. 削弱 to make (someone or something) weaker or less effective","【例】The tumbling of equity markets around the world has erased wealth and undermined confidence.","【选】subvert, impair, undercut, weaken",,,,,,,,,,,,,,,,,,,,"[sound:youdao-dee10285-49e55092-81d8ef4e-49a03a10-1d47b901.mp3]",,"GRE::新东方GRE佛脚词改"
"self-serving","[ˌselfˈsɜːrvɪŋ]","【释】adj. 自私的 having or showing concern only about one's own needs and interests","【例】Professor Fernandez was dubious about the so-called humanitarian aspects of the colonial government and insisted that their actions were actually self-serving.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-9ca858fc-e1bedc37-b1ea4ddf-3ae127c7-60f416e4.mp3]",,"GRE::新东方GRE佛脚词改"
"perishable","[ˈperɪʃəbl]","【释】adj. 易消亡的，短暂的 likely to spoil or decay quickly","【例】This kind of wood is very perishable when exposed to weather, but keeps extremely well in dry conditions.",,"【派】perish（v. 消亡）",,,,,,,,,,,,,,,,,,,"[sound:youdao-378aa4ff-1006818e-264fb955-7442981a-5e34d2be.mp3]",,"GRE::新东方GRE佛脚词改"
"capricious","[kəˈprɪʃəs]","【释】adj. 变化多端的 changing often and quickly","【例】Kate's impulsive nature and sudden whims led her friends to label her capricious.","【选】impulsive, cavalier, fickle, versatile, volatile, flighty, erratic","【派】caprice（n. 突发奇想，怪念头）","【反】resolute, steadfast",,,,,,,,,,,,,,,,,,"[sound:youdao-e21b653a-777a01ef-014a86fb-e288c96c-4a706b16.mp3]",,"GRE::新东方GRE佛脚词改"
"egotism","[ˈiːɡoʊɪzəm]","【释】n. 自大 an inflated sense of one's own importance","【例】His character, notwithstanding the egotism which often made him act selfishly, had an amiable and engaging side.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-9e163df1-58d3e3a3-071aab86-3abc80ed-66b9f140.mp3]",,"GRE::新东方GRE佛脚词改"
"unqualified","[ˌʌnˈkwɑːlɪfaɪd]","【释】adj. 完全的 complete or total","【例】The launch of the iPad was an unqualified success for Apple.","【选】unalloyed",,,"【释】adj. 不合格的 not having the skills, knowledge, or experience needed to do a particular job or activity","【例】Apple labeled the prospective employee as unqualified for the position after noticing a lack of technical experience on his resume.",,,,,,,,,,,,,,,,"[sound:youdao-d3d52c9f-cdf27be1-a5aa6040-b08e79f2-ac51c1b5.mp3]",,"GRE::新东方GRE佛脚词改"
"magisterial","[ˌmædʒɪˈstɪriəl]","【释】adj. 权威的 authoritative","【例】Wanting desperately to be perceived as learned and authoritative despite his young age, Johnson adopted a magisterial tone when speaking in public.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-93f06755-ee052f25-58d98e49-2440bc22-cd46a1b9.mp3]",,"GRE::新东方GRE佛脚词改"
"chauvinistic","[ˌʃoʊvɪˈnɪstɪk]","【释】adj. 极端爱国的 believing that one's country, gender or other group is better than any other","【例】Many right-wing Americans hate cosmopolitanism and hold a chauvinistic belief in their country's superiority.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-2027f42a-f832fad5-40707388-ad159711-da84cc34.mp3]",,"GRE::新东方GRE佛脚词改"
"sleek","[sliːk]","【释】adj. 光滑的，线条流畅的 straight and smooth in design or shape","【例】Despite the convertible's sleek appearance, the car was slower than an 18-wheeler truck.",,,,"【释】adj. 时髦的，吸引人的 stylish and attractive","【例】Alfred has created a reputation among his fellow lawyers for his choice of sleek suits whenever he has to make an appearance at the Supreme Court.",,,,,,,,,,,,,,,,"[sound:youdao-059aac1c-991ba61c-75d10b07-20e5a2ae-eb9024de.mp3]",,"GRE::新东方GRE佛脚词改"
"astringent","[əˈstrɪndʒənt]","【释】adj. 严厉的，尖刻的 very critical in a sharp and often clever way","【例】The professor's astringent insight into the debate on global warming influenced his students to support alternative energy.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-8513ad76-8bd122f8-ef7316a8-27d9b11e-f02bbae8.mp3]",,"GRE::新东方GRE佛脚词改"
"ambivalent","[æmˈbɪvələnt]","【释】adj. （情感、态度）矛盾的 having simultaneous and contradictory attitudes or feelings toward an object, person, or action","【例】After having a big fight with his girlfriend, Richard was ambivalent about going through with his plans to propose to her.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-4d19caca-2a1863f4-14ddc04f-ec0b986a-930b065f.mp3]",,"GRE::新东方GRE佛脚词改"
"ameliorate","[əˈmiːliəreɪt]","【释】v. 改善，提升 to make better or more tolerable","【例】Ameliorating the effects of climate change only creates temporary solutions against the more deep-rooted problems that continue to pervade the environment.","【选】improve",,,,,,,,,,,,,,,,,,,,"[sound:youdao-1cdaf58d-32e6f60f-fb2c2aa6-6a6546b2-eacc488c.mp3]",,"GRE::新东方GRE佛脚词改"
"exemplar","[ɪɡˈzemplɑːr]","【释】n. 典型 a typical example","【例】The Notre Dame cathedral in Paris is an exemplar of French Gothic architecture with its use of pointed arches and flying buttresses.","【选】model",,,,,,,,,,,,,,,,,,,,"[sound:youdao-ca6034ea-57c84943-685842ec-f0cdfc46-569a9500.mp3]",,"GRE::新东方GRE佛脚词改"
"grudge","[ɡrʌdʒ]","【释】v. 不愿给予或承认 to be unwilling to give or admit","【例】He grudged the time and energy needed to deliver the boring, mandatory weekly reports to his boss.",,,,"【释】n. 怨恨 a deep-seated feeling of resentment or rancor","【例】Despite their handshakes at the end of the match, the hockey players on opposing teams bore harsh grudges against each other and fought shortly after.",,,,,,,,,,,,,,,,"[sound:youdao-cadb0ee6-b4d6c18a-d4b4e1af-1edf8e0f-8473c269.mp3]",,"GRE::新东方GRE佛脚词改"
"sweeping","[ˈswiːpɪŋ]","【释】adj. 广泛的 extensive","【例】From the top of the hill, Brandon could see a sweeping view of the lake and a nearby village.",,,,"【释】adj. 全面的 marked by wholesale and indiscriminate inclusion","【例】The mayor's sweeping generalizations about the rival community bred anger among the citizens of both towns.",,,,,,,,,,,,,,,,"[sound:youdao-d948cec1-47f0d189-a4a84a0e-29328c14-ceaf6103.mp3]",,"GRE::新东方GRE佛脚词改"
"extirpate","[ˈekstərpeɪt]","【释】v. 根除 to destroy or remove completely","【例】While some locals think that the squirrels are cute, environmentalists say they are an invasive species and should be extirpated.","【选】eliminate","【派】extirpation（n. 消灭，根除）","【反】propagate",,,,,,,,,,,,,,,,,,"[sound:youdao-d2ecb889-106c051f-3852a10b-d24ecc83-13146656.mp3]",,"GRE::新东方GRE佛脚词改"
"parity","[ˈpærəti]","【释】n. 平等 equality","【例】Achieving gender parity is important for workplaces because it fosters a positive outlook for its employees and sends the right message to the larger community.","【选】equality",,,,,,,,,,,,,,,,,,,,"[sound:youdao-0aea720e-57025130-2f63d2df-e58eedd6-52c80559.mp3]",,"GRE::新东方GRE佛脚词改"
"utilitarian","[ˌjuːtɪlɪˈteriən]","【释】adj. 实用的 made to be useful rather than to be decorative or comfortable","【例】Some people place emphasis on the looks of a car, but others only see it as a utilitarian asset to help them commute.","【选】functional",,"【反】decorative, embellishing","【释】adj. 功利的，实用主义的 of or relating to utilitarianism","【例】The politician advocated utilitarian ideals of increasing the overall good and reducing the amount of suffering across the entire population.",,,,,,,,,,,,,,,,"[sound:youdao-48a5c4a8-a1b97e5e-427de0d7-5cbdad32-8f26b7f9.mp3]",,"GRE::新东方GRE佛脚词改"
"elicit","[iˈlɪsɪt]","【释】v. 引起 to call forth or draw out","【例】The article that criticized millennials as stupid and foolhardy elicited hundreds of angry responses when it first appeared in the newspaper.","【选】draw",,,,,,,,,,,,,,,,,,,,"[sound:youdao-cdb974dd-082c1441-c1980034-17aec88c-28380221.mp3]",,"GRE::新东方GRE佛脚词改"
"intoxicate","[ɪnˈtɑːksɪkeɪt]","【释】v. 使…陶醉，沉醉 to excite or elate to the point of enthusiasm or frenzy","【例】The young king was intoxicated by the huge extent of power and control he possessed upon his sudden reign.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-9f83c73f-2f778e03-b32b1467-998ea0f3-631def34.mp3]",,"GRE::新东方GRE佛脚词改"
"inchoate","[ɪnˈkoʊət]","【释】adj. 早期的 being in a beginning or early stage","【例】The inchoate design of the research project will be refined and improved as researchers narrow down their goals.",,,"【反】completely formed","【释】adj. （在早期）混乱的 imperfectly informed or developed","【例】The egg contained the inchoate embryo of a chick that would never survive hatching.",,,"【反】explicit",,,,,,,,,,,,,"[sound:youdao-aaa75e3e-96bd027d-86d54a79-ea0a207f-7ebbc1e3.mp3]",,"GRE::新东方GRE佛脚词改"
"rebuff","[rɪˈbʌf]","【释】n. （粗鲁的）回复 a blunt or abrupt repulse or refusal","【例】His request for the director's meeting to be rescheduled was met by a stark rebuff from the secretary who refused to assist him.",,,,"【释】v. （粗鲁地）拒绝 to reject bluntly, often disdainfully","【例】Rose rebuffed her boyfriend's proposal and refused to accept the ring.",,,,,,,,,,,,,,,,"[sound:youdao-6341f442-ca419551-ab8722ce-2eaf73d7-590c4657.mp3]",,"GRE::新东方GRE佛脚词改"
