Word,Mixed Meaning
abstract,"<ul><li>Use the adjective abstract for something that is not a material object or is general and not based on specific examples.</li><li>Abstract is from a Latin word meaning ""pulled away, detached,"" and the basic idea is of something detached from physical, or concrete, reality. It is frequently used of ideas, meaning that they don't have a clear applicability to real life, and of art, meaning that it doesn't pictorially represent reality. It is also used as a noun, especially in the phrase ""in the abstract"" (a joke has a person laying down a new sidewalk saying ""I like little boys in the abstract, but not in the concrete""), and as a verb (accented on the second syllable), meaning ""to remove.""</li></ul>"
absurd,"<ul><li>Something absurd is really silly, absolutely ridiculous, or total nonsense. Thinking you can wear flip flops and a bikini to the North Pole is an absurd idea, for example.</li><li>If you run into someone dressed in an absurd outfit or watch a movie full of absurd jokes, you'll probably have a good laugh. But find yourself dealing with the absurd; you'll likely be stuck in a depressing existential crisis. The absurd describes a state of being where human life has no purpose and everything is completely irrational.</li></ul>"
abundance,"<ul><li>To have an abundance of something is to have more than you need. It's often used to describe positive qualities, such as ""an abundance of love.""</li><li>Abundance is the opposite of scarcity. An abundance of wealth is a ton of cash. An abundance of friends sounds like a good thing, but it can get overwhelming when it comes to scheduling time to hang out or buying gifts. This noun comes to us from the mid-14th century French, via the Latin abundantia, meaning ""fullness, plenty.""</li></ul>"
abundant,"<ul><li>On Halloween, you can find candy in abundant supply. Use abundant to describe something that exists in large amounts that are more than what's needed.</li><li>Near synonyms are plentiful, emphasizing ""large amounts,"" and ample, emphasizing ""more than enough."" The adjective abundant is commonly followed by the prepositions with or in, to mean ""filled with or rich in something"": a region abundant in natural resources. Abundant comes from Middle English aboundant, from Old French abondant, from Latin abundāns, form of abundāre ""to overflow.""</li></ul>"
abundantly,
accelerate,"<ul><li>Accelerate means to speed up. A car accelerates when you step on the gas. You can accelerate the process of getting a visa if you happen to know someone who works in the consulate.</li><li>The fastest Amtrak trains are called the Acela line, a made-up word intended to suggest accelerate and therefore communicate that these trains are fast. If you are standing close to one when it zooms by, you may find yourself having an accelerated heart rate — they move pretty fast!</li></ul>"
access,"<ul><li>Most libraries provide computers you can use to access the Internet. If chemicals are being stolen from a lab, you might ask who has access to the lab. Access is approaching or making use of something, or the ability to do so</li><li>Sometimes the word is applied to a person. If you work in the same room as your boss, you might have easy access to her. A really good boss will work hard to make herself accessible to her employees.  Access is from Middle English, from Middle French acces ""arrival,"" from Latin accessus ""an approach,"" from accedere ""to approach.""</li></ul>"
accessible,"<ul><li>Accessible can mean easy to get to. If the mall is easily accessible, you might be tempted to spend a lot of money on your lunch breaks.</li><li>The ""within reach"" definition of the adjective accessible does not just refer to physical distance. A person can be accessible if they are approachable and friendly. A celebrity that is accessible probably signs a lot of autographs and grants interviews. The word can also describe something that is easily understood. You might need to read a plot summary of a long convoluted novel — to make it more accessible or easy to follow.</li></ul>"
accidental,"<ul><li>Anything accidental happens by chance or unintentionally. People don't mean to do accidental things.</li><li>An accident is something unforeseen that no one wanted to happen, like a car accident or getting hit by lightning. You can describe anything like that as accidental. Bumping into a stranger could be accidental. Forgetting to pay a bill is accidental. This word covers all the things that no one really meant or planned to happen. There are a lot of accidental events in the world, which is one reason insurance exists.</li></ul>"
acclaimed,
accommodate,"<ul><li>If you accommodate, you are making an adjustment to suit a particular purpose. If you accommodate your brother's demand for the attic room, then you give in and let him take over that space.</li><li>Accommodate entered English in the mid-16th century from the Latin word accommodat-, meaning ""made fitting."" Whether it refers to changing something to suit someone's wishes or providing someone with something he needs, accommodate typically involves making something fit. You might change your lunch plans, for example, to accommodate your best friend's schedule. Accommodate can also refer to providing housing or having enough space for something. You might need to open up the extra bedroom to accommodate your out-of-town guests.</li></ul>"
accomplished,"<ul><li>The adjective accomplished is useful for describing someone who's very good at something. You might use it to talk about yourself if you are an accomplished — or highly skilled — sword swallower.</li><li>An accomplished ice skater is someone who can do one of those fancy twirls on the ice, and an accomplished cupcake baker is someone you want to be friends with. Another way to use the word accomplished is to mean ""successfully completed or finished."" You might say, ""I accomplished my goal of climbing the highest mountain east of the Mississippi River."" Next up: Everest.</li></ul>"
account for,
account,"<ul><li>An account can be many things — such as a story, like if you give a friend an account of what happened at the party she missed. It can also be a business arrangement, like a bank account or an email account.</li><li>Account is one of those seemingly simple words that have a mass of different meanings. An account can be a narrative or story — a biography, for example, is an account of someone's life. Account can also mean an explanation of something, as in the phrase, ""How do you account for that?"" An account is also a handy arrangement whereby a store agrees to provide you goods on credit, but then you might have to account for all that debt.</li></ul>"
accumulate,"<ul><li>To accumulate means to gather, usually in large quantities. Let's hope your boyfriend is not the type to accumulate girlfriends.</li><li>The root of accumulate is cumulus which means ""mound"" or ""heap."" You might have heard of cumulus clouds, those big fluffy clouds that look like giant piles of whipped cream. Think of these heaping helpings of clouds when you think of accumulate. The money in your savings account accumulates interest, though these days you won't accumulate much wealth that way! Police accumulate evidence until they have enough to charge someone with a crime.</li></ul>"
accurate,"<ul><li>Something that is accurate is exact and true. It's important to be accurate in the kitchen with your measurements and in the courtroom with your testimony.</li><li>The adjective accurate comes from the Latin roots ad curare, meaning ""to take care,"" and that is precisely what you do when you make sure something is accurate. You take care to make sure it is perfectly correct: an accurate answer, an accurate headcount, an accurate assessment of the problem. By adding the Latin root in, meaning not, you can make the antonym inaccurate (not accurate).</li></ul>"
accurately,"<ul><li>Anything done accurately is done correctly or with very few mistakes. Many things should be performed accurately, especially brain surgery.</li><li>When you're accurate, you're precise: you get things right. To do something accurately is to do it in a precise, correct, careful manner. A baseball player with a good batting average hits the ball accurately. An accountant who never makes mistakes juggles the numbers accurately. If you got 100 on a test, you performed accurately. The opposite of this word is inaccurately, which means you did something wrong, incorrectly, or with a lot of mistakes.</li></ul>"
acknowledge,"<ul><li>To show that you know something is to acknowledge it. Waving ""hello"" to acknowledge a friend and nodding your head ""yes"" to acknowledge that you agree with what's being said are both acts showing knowledge or acceptance of someone or something.</li><li>Dictionaries acknowledge that the word acknowledge has roots in the 15th and 16th centuries and is a combination of roots meaning ""accord,"" ""recognize,"" and ""understand."" Whereas ""knowledge"" is what you know, acknowledging is showing that you know. You might acknowledge that the world is round and that the moon is not made of cheese. You also can acknowledge, or give recognition, to the people who discovered these truths.</li></ul>"
actually,"<ul><li>You might think your mom would be thrilled to open a birthday present and find a live rabbit, but actually that's the last thing she's hoping for. Actually is an adverb that means ""really.""</li><li>Actually can be used two ways: first, as an adverb meaning ""really."" You might say, ""It's hard to know which of these cookies will taste best without actually sampling them all."" The other way to use the word actually is to imply that your expectations have been proven wrong, that the opposite of what you thought is true. You could say, ""The hotel room looked spotless, but actually it turned out to have bedbugs.""</li></ul>"
added,
adept,"<ul><li>Are you looking for another word to describe a person who is highly skilled, very proficient or expert at something? Try the adjective adept!</li><li>In the days of Medieval Latin, an adeptus was a person who had learned the secrets of alchemy. Although an adept person today cannot turn lead into gold, the adjective is still high praise meaning ""skilled, expert, highly proficient.""</li></ul>"
adequately,"<ul><li>Something has been done adequately when basic requirements are fulfilled. Passing your driver's test probably means you parallel parked adequately; if not, you may have knocked over some cones.</li><li>The adverb adequately is a synonym for sufficiently, or suitably. If you've adequately fulfilled your course requirements, you're probably neither the best nor the worst student in the class. But you've definitely done well enough that you can pass — so doing something adequately is generally a positive thing, unless you're an overachiever, in which case you might not like that description at all!</li></ul>"
adherent,"<ul><li>Because an adherent is usually something or someone that sticks to something or someone else, it's logical that it can also mean a person who believes in and supports a certain philosophy or leader.</li><li>An adherent to a cause can be called a disciple, one who believes and tries to get others to believe. It can also refer to a material that sticks to other things.  While the first meaning comes from the 15th century, the reference to a sticky substance didn't emerge until the 16th. In all cases, the word comes from the Latin root haerēre ""stick,"" connected to the prefix ad- ""to,"" making the word mean ""to stick to.""</li></ul>"
adjacency,
adjacent,"<ul><li>Adjacent means close to or near something. You may consider the people up and down your street to be neighbors, but your next-door neighbor is the person who lives in the house or apartment adjacent to yours.</li><li>Adjacent can refer to two things that touch each other or have the same wall or border. And the adjective is often followed by the preposition to: Her office is adjacent to mine. This word is from Latin adjacere ""to lie near,"" from the prefix ad- ""to"" plus jacere ""to lie, throw.""</li></ul>"
adjust,"<ul><li>When you adjust to something, you change so that you can fit in, conform, or keep on going. Arriving at a new school almost always requires that you adjust a little. Once you adjust, you'll find you're as happy as you were in your old school.</li><li>To adjust doesn't mean to transform in a major way. It implies small but important changes that make a big difference. If you adjust your speed by just ten miles per hour, you'll get more than fifty more miles per fill-up. You can adjust your hair to make it fancier, you can adjust your lifestyle to make it more sober, or you can adjust your attitude to make yourself less annoying. You used to have to adjust your TV antenna to get a better picture. Ask your mom.</li></ul>"
administer,"<ul><li>When you administer something, you give it to others. This can apply to a dose of medicine, an order, a survey, or a punishment. Administer can also mean to run something — such as a school or an office.</li><li>The word administer belongs to a family of words, all having to do with being in charge: administration, administrator, and administrative. Strangely, administer comes from the Latin word minister meaning ""servant."" So, if your boss or principal administers an instruction that you disagree with, just think of that person as your servant. Doing so will help you carry out your duties with a smile.</li></ul>"
admire,"<ul><li>If you hold someone in high esteem or look up to someone, you admire that person. If you ask four-year-olds who they most admire, they are likely to list their mom, dad, and grandparents — or superheroes and comic book characters.</li><li>The verb admire also means to look at with wonder and pleasure. She stood on the balcony of her hotel for a long time, simply to admire the view of the ocean and the surf as it crashed against the rocks below. I admire the way she volunteers to help at the school and with other charities because she is willing to give her time to good causes.</li></ul>"
admit,"<ul><li>When you admit something, you confess that it happened.  It wasn't easy to admit that you'd broken the vase, but how else could you explain that your hand was glued to it?</li><li>Besides meaning ""confess,"" admit can also mean ""let in,"" like a theater ticket that says ""ADMIT ONE.""  If you admit that you have a bag of popcorn hidden in your backpack, you might not be admitted to the movie. A doorway admits you into a room, and if a room can hold up to 50 people, that room admits 50. You can even use admit for metaphorical entrances, like the way your wild style admits you into high fashion circles.</li></ul>"
adopt,"<ul><li>You can adopt an air of nonchalance, a fake British accent, or even a stray dog. When you adopt something, you consciously select it and accept it as your own.</li><li>The word adopt has many different shades of meaning, but most relate to the notion of taking something on and treating it as if it’s your own. You’re probably familiar with what happens if you adopt a child: you take on parental responsibilities and accept the child as if it’s your own. You can adopt other things — such as a plan, a method, or a point of view — in a similar way. For example, when you adopt a particular attitude — such as a respectful attitude — you select that as a way to present yourself and behave as if it is natural.</li></ul>"
advance,"<ul><li>The experience of having a wild monkey advance on you is pretty scary. The verb advance means ""move forward purposefully.""</li><li>When you move forward, you advance. You can advance a chess piece on a board, advance toward someone across a room, or observe an army as it advances into a country. Advance also means ""make progress,"" as when you advance your knowledge of Spanish by traveling to Ecuador, or ""to loan money,"" which a bank does by making an advance of a thousand dollars. Since the 1700s, to make advances has also meant to make romantic overtures or to flirt.</li></ul>"
advent,"<ul><li>The advent of something means that it's finally here. You might be waiting for the advent of a new iPhone or for the advent of cloning. Don't hold your breath.</li><li>Generally, the noun advent is used for the introduction of something important. The twentieth century saw the advent of many important inventions — including television, computers, and microwave dinners. If the word is capitalized, it has a religious meaning, referring to the period, observed in certain Christian religions, that begins on the fourth Sunday before Christmas (December 25).</li></ul>"
affair,"<ul><li>If your grandfather was so startled by people shouting ""Surprise!"" at his birthday party that he had a mild heart attack, you'd probably want to just forget the whole affair. An affair is a specific event.</li><li>You can use affair as a kind of shorthand, to mean ""that big mess,"" or ""that complicated story I already told you about."" Your affair can also mean your responsibility or job, like if your grandmother said, ""I don't care about balloons for the party — that's your affair."" Another way affair is frequently used is to mean a love affair, particularly if the relationship is brief and intense. This meaning comes from the French phrase affaire de coeur, ""affair of the heart.""</li></ul>"
afford,"<ul><li>To afford means you have enough money or time for something. If you only have ten dollars on you, you can't afford to buy a twenty-dollar hat.</li><li>Afford is a verb that has to do with means. You either have a surplus and therefore can afford something, or else you have a deficit and can’t. It can be in the monetary sense: ""$100 for cashmere socks? I can’t afford that!” It can also refer to time: “Since my train wasn't scheduled to leave for another hour, I could afford to wait for my sister ten more minutes.” Or even access: “The castle walls afforded a wonderful view of the moat.”</li></ul>"
aggravate,"<ul><li>People who chew with their mouths open often aggravate the people near them, meaning that they exasperate their neighbors.</li><li>One trick for remembering the meaning of aggravate is to recall that it rhymes with one of its synonyms, irritate. When you irritate, you aggravate. Younger brothers often aggravate their older brothers, because they find it entertaining to get a reaction out of them. Aggravate is also used to mean ""make worse."" For example, if you have an old knee injury, it's probably best not to climb Mount Everest, because you might aggravate the injury. If your house is in foreclosure, calling your banker an ugly name is likely only to aggravate the situation. Try a little sweet talk instead!</li></ul>"
aggregate,"<ul><li>To aggregate is to collect many units into one. If you're writing a novel, you might create a character who is an aggregate of five or six real people.</li><li>Aggregate comes from the Latin verb aggregare, which means to add to. As a verb it means to collect into a mass or whole. You can also use it as an adjective, as in your aggregate sales for February, March and April. It can also be a noun. The mountain of foam in bubble bath is an aggregate of small bubbles. If you plan to work in economics or business, expect to see the word aggregate quite a lot.</li></ul>"
aggregation,"<ul><li>An aggregation is a collection, or the gathering of things together. Your baseball card collection might represent the aggregation of lots of different types of cards.</li><li>Aggregation comes from the Latin ad, meaning to, and gregare, meaning herd. So the word was first used to literally mean to herd or to flock. Now it's just refers to anything herded together in a collection or assemblage. If you work in a lab, for example, you may be charged with the aggregation of samples prior to experimentation.</li></ul>"
agile,"<ul><li>On water skis she was agile and made sharp turns and long arcs cutting through the water, but she was a lot less agile on the snowboard, landing on her face and hands as she clunked down the slopes.</li><li>People and things can be agile, or quick and graceful. Car commercials talk of ""agile handling,"" and nature-shows feature spry creatures who survive by being agile among more slow-footed and clumsy animals. Human and virtual minds also earn the description agile when they're sharp and grasp ideas or reason with speed and easy logic. Things that are agile often are thought to be light, but even heavy machines like trains and large people like sumo wrestlers can be agile.</li></ul>"
air,"<ul><li>When you breathe in, you're inhaling all that invisible stuff around us called air — a mixture of gases that includes oxygen.</li><li>To air something out can mean to expose it to the air in order to freshen it up, like leaving stinky sneakers out on the porch for a while to help them smell better. But to air a grievance or a secret is a whole other story — that means to publicize something that wasn't public knowledge before. Perhaps you have a cousin who takes great delight in airing all the family's secrets.</li></ul>"
alarm,"<ul><li>On a clock, the alarm can be set to go off at a certain time to wake nearby sleepers. You should always check the alarm on the clock at a hotel because a previous guest may have it set to go off in the middle of the night.</li><li>The noun alarm refers to a signal that is meant to rouse, alert, or awaken someone. On April 18, 1775, William Dawes, Paul Revere, and several others rode from Boston to Lexington, Massachusetts to raise the alarm that the British were coming. As a verb, alarm means to be filled with anxiety or apprehension. You may become alarmed if your children become too quiet. Never a good sign — they are probably up to something mischievous.</li></ul>"
albeit,
alleged,"<ul><li>A claim or statement that is alleged hasn't been proven true — if you're an alleged murderer, you've been accused but not convicted.</li><li>When a fact is alleged, there is doubt about its accuracy. The word alleged is often used in connection with court cases, because the accused is innocent until proven guilty: an alleged robber is a suspected robber but has not been proven guilty of robbery.  Journalists often use alleged in news stories when someone’s guilt is suspected but not confirmed. Sometimes alleged means doubtful or dubious, as in ""Who is this alleged expert?""</li></ul>"
allocation,"<ul><li>If it is your job to decide how much money goes to three charities, you are in charge of the allocation of your donation. The money each charity gets is their allocation.</li><li>You'll often hear this word used when talking about things like government funding. People often debate the allocation of federal funds. Should tax dollars be used for the military, or for domestic needs like education and healthcare? These decisions are made by Congress and the President, who work together to create a budget to allocate funds appropriately.</li></ul>"
allow,"<ul><li>If you allow your best friend to read your diary, it means you've given him permission to do it.</li><li>The verb allow means to let someone do something. You can allow casually, like when you allow your friend to bite off a few pieces from your candy necklace, or more officially, as when a city government decides to allow dogs to be brought into restaurants. Allow can also be used to mean ""admit the truth of,"" so you could say, ""Fine, I'll allow that dogs aren't any dirtier than many people, but it's still strange seeing them in restaurants.""</li></ul>"
allude,"<ul><li>When you allude to something, you don't identify it or mention it specifically. If you allude to the fact that a cop is sitting right behind you, your friends might stop talking about their plans to rob a bank.</li><li>Allude is from Latin allūdere ""to play with, joke"" from the prefix ad- ""toward"" plus lūdere ""to play."" The corresponding noun is allusion, which is often used of an indirect reference in literature: Helen, a fitting name for a woman of great beauty, is an allusion to Helen of Troy.</li></ul>"
ally with,
alter,"<ul><li>After eating too many gingerbread cookies, she no longer fit into her uniform, so she had a seamstress alter it. It looked pretty much the same.</li><li>The verb alter can also mean to neuter or spay. Think of a cat that has just been spayed: the cat you pick up from the vet is the same cat that you dropped off there, only perhaps a little groggy and unable to reproduce. While the cat has been altered, it's not a different cat.</li></ul>"
amazing,"<ul><li>Use the adjective amazing to describe something that is so good, it surprises you, like the amazing beauty of the Rocky Mountains or the amazing feats of a truly great athlete.</li><li>Amazing, like incredible, awesome, and fabulous, is used so often to describe things that are just really good, you sometimes forget that its real meaning is reserved for things that are especially remarkable. The base word in amazing is amaze, which means ""to astound or perplex."" So amazing should be reserved for things that do just that.</li></ul>"
ambiguous,"<ul><li>Look to the adjective ambiguous when you need to describe something that's open to more than one interpretation, like the headline ""Squad helps dog bite victim.""</li><li>Newspaper headlines can be unintentionally funny when they're ambiguous. In ""Squad helps dog bite victim,"" is the squad helping a victim of a dog bite or helping a dog bite a victim?  The ambi- prefix means ""both ways,"" while the guous part is from the Latin verb agere, ""to lead or drive."" Thus an ambiguous sentence or situation drives us in two different directions at once. The accent is on the second syllable, ""big,"" which you can remember since something that's ambiguous can lead to big misunderstandings.</li></ul>"
ambitious,"<ul><li>Ambitious means wanting to succeed. If you want to climb Mount Everest, start your own business, and write a great philosophical treatise all before you are 30, then wow, you are really ambitious.</li><li>Having an ambition is a good thing, like wanting to get good grades, or to become a doctor. But if we say someone is ambitious, often we mean they have too much ambition. An ambitious politician might want power so badly that he’ll abandon his ideals in order to win a race. If you hatch a business plan and someone tells you it’s too ambitious, that means you’re probably not being reasonable about how much you can get done.</li></ul>"
ambivalent,"<ul><li>If you can't decide how you feel about something, declare yourself ambivalent about it.</li><li>Ambivalent means ""having mixed feelings about something."" A Swiss psychologist named Eugen Bleuler coined the German word Ambivalenz in the early twentieth century, and it was soon imported into English. Bleuler combined the Latin prefix ambi-, meaning ""both,"" with valentia, ""strength."" So etymologically speaking, if you're ambivalent you're being pulled by two equally strong things — but in practice, ambivalence often arises from caring very little either way. You might feel ambivalent about your lunch options if you have to choose between a murky stew and flavorless tofu.</li></ul>"
ample,"<ul><li>Ample describes an abundance of something. An ample supply of apple muffins at the bake sale is a good thing, as is ample legroom in your new van — but if the vet notices your dog's ample waistline, you might have to put Fido on a diet.</li><li>Like amplify (crank up the volume), ample is from the Latin word amplus, meaning ""large or spacious."" Ample can be enough or even too much of something. It's great when there's ample parking or ample snacks for a hike, and we'd all be happy if we had ample time and money. But there are things that some people don't want more of — if your principal has ample evidence that you started the food fight in the cafeteria, you're probably going to end up in detention.</li></ul>"
amplify,"<ul><li>The verb amplify means to crank up the volume. Speakers amplify, or raise, the volume of the noise coming through a microphone so that everyone at the rock show can hear.</li><li>Amplify comes from the Old French word amplifier meaning ""to enlarge or expand."" It refers to making a sound “expand,” but it can also crank up something like a disagreement — if you spread rumors, you might amplify an argument. It can “enlarge” an idea — if you don't realize how bad your health is, your doctor might amplify your test results by explaining them to you in simple, and possibly frightening terms.</li></ul>"
analogous,"<ul><li>Use the adjective analogous to describe something that is similar to something else and can be compared to another.</li><li>Analogous things can be compared to each other, so a near synonym is the adjective comparable. Analogous is a term used in biology to refer to body parts that have a similar function but differ in structure, such as the wings of a bird and the wings of an airplane. Analogous is from Latin analogus, from Greek analogos, meaning ""according to a proper ratio or proportion.""</li></ul>"
ancestor,"<ul><li>An ancestor came before. Your grandmother's grandmother and any relative before her is one of your ancestors.</li><li>Ante-, a common Latin prefix, means ""before."" Cedere is Latin for ""to go."" So, an ancestor is someone who has gone before us. Evolutionary biologists have advanced the theory that all life on earth descends from a common ancestor. Ancestor can also mean ""prototype"" or ""forerunner."" The abacus is a distant ancestor of today's supercomputers.</li></ul>"
anchor,"<ul><li>On a boat, an anchor is a heavy object attached to a rope. You toss it overboard, it sinks to the bottom, and your vessel doesn't move. Anchor has the sense of what holds something in place.</li><li>When you anchor a bookshelf to the wall, you affix it to the wall so it won't come down. The anchor of a relay race is the last person to run. It's their job to hold the team's lead. And on televised news, the anchor is the person who is front and center delivering the current events, the one who draws viewers to the news on that particular station.</li></ul>"
ancient,"<ul><li>Ancient means very old. Sometimes there's a sense of ""older than old."" My grandmother, bless her soul, lived until she was positively ancient.</li><li>Ancient art is that made in places and times we refer to as Ancient Greece, Ancient Rome and Ancient Egypt, and ""an ancient"" is someone who lived either during those eras, or in a Biblical context, before the flood that brought us the story of Noah and the Ark.</li></ul>"
annihilate,"<ul><li>Killing ends when the thing you are killing (your sworn enemy, all hope, a pesky mosquito) is dead. Annihilate goes farther—when you annihilate something, you wipe all trace of it from the earth.</li><li>You kill a person, but you annihilate a tribe, a town, or even a species. It's nice to think that the human race made it all the way up until the 16th century before annihilate came to mean what it does now. Might this have something to do with the increasing use of gunpowder around this time?</li></ul>"
annually,"<ul><li>Something that happens annually occurs once a year, every year. If you vacation at the beach annually, you do it every summer.</li><li>Many people send holiday cards annually, mailing stacks of them every December, and everyone celebrates a birthday annually. If your work performance is reviewed annually, your boss might consider giving you a raise each year. The adverb annually comes from the adjective annual, which is rooted in the Late Latin annualis, based on annus, or ""year.""</li></ul>"
anomaly,"<ul><li>An anomaly is an abnormality, a blip on the screen of life that doesn’t fit with the rest of the pattern. If you are a breeder of black dogs and one puppy comes out pink, that puppy is an anomaly.</li><li>The noun anomaly comes from the Greek word anomolia, meaning ""uneven” or “irregular.” When something is unusual compared to similar things around it, it’s the anomaly. If you are an Olympian who comes from a family of bookish types who all find it strenuous to walk the dog, you are an anomaly.</li></ul>"
anonymous,"<ul><li>If you don't know who wrote a poem, the author is anonymous. If you don't know who donated a gift to a museum, it's called an anonymous gift from an anonymous donor. Anonymous means a person unknown.</li><li>Alcoholics Anonymous takes its name from the fact that it's a confidential group––people use only their first names and do not identify one another as members of the group. Another related meaning of anonymous is to describe something that does not have any special qualities. If you work in an anonymous office building, its design is pretty typical and not very interesting.</li></ul>"
antagonist,"<ul><li>An antagonist is someone who opposes someone else. In Superman comics, the antagonist is Lex Luthor, evil genius and archenemy of the superhero.</li><li>The noun antagonist shows up a lot when people are talking about books, plays, or movies to mean ""the bad guy,"" but it can also be used to talk about a real person if she acts against someone else. An antagonist is always in opposition, but she isn't always bad or mean; your opponent on the tennis court, for example, could be called your antagonist, simply because it is her priority to beat you in your tennis game.</li></ul>"
anticipate,"<ul><li>To anticipate something is to be expecting it. Your dog might be waiting by the door, anticipating his next walk or squirrel chase.</li><li>""Anticipating something"" also often implies that you are preparing to take some action because of your expectations — like when you anticipate your chess opponent's next move and plan a counterattack. The word anticipate can also mean ""to come beforehand"" — as in a certain musical trend anticipating another.</li></ul>"
antiseptic,"<ul><li>If you are out to kill some microorganisms, an antiseptic will come in handy! If you go to a hospital for a cut on your arm, the nurse will apply an antiseptic to the wound because it will kill any bacteria, while not harming your healthy skin.</li><li>Antiseptic is also an adjective that describes the state of being clean and without disease-causing bacteria: ""The antiseptic wash the nurse splashed over your arm was bright blue and smelled funny, but it kept your wound free of infection."" Antiseptic can also describe something that is clean in a different way — as in, free of any objectionable language. A comedian's jokes could be so antiseptic that even your grandmother would like them.</li></ul>"
antithesis,"<ul><li>An antithesis is the complete opposite of something. Though the counterculture was strong in America in 1968, voters elected Richard Nixon, the antithesis of a hippie.</li><li>The noun antithesis comes from a Greek root meaning ""opposition"" and ""set against."" It's often used today when describing two ideas or terms that are placed in strong contrast to each other. We might come across antithesis in school if we learn about the ""Hegelian dialectic."" There, the thesis, or main idea put forward in an argument, is countered with its opposite idea — the antithesis — and the two are finally reconciled in a third proposition, the synthesis. An antithesis wouldn't exist without a thesis because it works as a comparison.</li></ul>"
antler,"<ul><li>An antler is one of a pair of horns that belong to most members of the deer family. An antler is usually curved and has branches.</li><li>Antlers come in pairs: there are two antlers coming out of a deer’s head. Antlers are branched like a tree limb, and some are very long and large. The elk is an animal with impressive antlers. Antlers look intimidating and can be used as a weapon by the deer when head-butting. Only the males have antlers in most species.</li></ul>"
anxiety,"<ul><li>Anxiety is the vague, uneasy feeling you get when you're dreading something. Anxiety can also be a permanent state of nervousness that some people with mental illnesses experience, a milder version of panic.</li><li>When a scary or unpleasant event is looming, like getting a family portrait taken the year you have braces, you might feel some anxiety. You might also feel anxiety about passing chemistry, especially if you’ve skipped a lot of classes. Someone who suffers from a mild or severe mental illness might feel anxiety all the time. Deep breathing, playing relaxing music, and medication have all been known to help reduce anxiety.</li></ul>"
apart from,
